Year,Value,Flag,Flag Description
1961,10997000.0,A,Official figure
1962,12072000.0,A,Official figure
1963,10776000.0,A,Official figure
1964,9853000.0,A,Official figure
1965,12257000.0,A,Official figure
1966,10394000.0,A,Official figure
1967,11393000.0,A,Official figure
1968,16540100.0,A,Official figure
1969,18651600.0,A,Official figure
1970,20093296.0,A,Official figure
1971,23832496.0,A,Official figure
1972,26409904.0,A,Official figure
1973,24734608.0,A,Official figure
1974,21778000.0,A,Official figure
1975,24104400.0,A,Official figure
1976,28846304.0,A,Official figure
1977,29009904.0,A,Official figure
1978,31749200.0,A,Official figure
1979,35507808.0,A,Official figure
1980,31830000.0,A,Official figure
1981,36312608.0,A,Official figure
1982,37451808.0,A,Official figure
1983,42793904.0,A,Official figure
1984,45476000.0,A,Official figure
1985,44068800.0,A,Official figure
1986,47051808.0,A,Official figure
1987,44322896.0,A,Official figure
1988,46169408.0,A,Official figure
1989,54110208.0,A,Official figure
1990,49849504.0,A,Official figure
1991,55134496.0,A,Official figure
1992,55689504.0,A,Official figure
1993,57210100.0,A,Official figure
1994,59840000.0,A,Official figure
1995,65767400.0,A,Official figure
1996,62097400.0,A,Official figure
1997,69350200.0,A,Official figure
1998,66345000.0,A,Official figure
1999,71287504.0,A,Official figure
2000,76368896.0,A,Official figure
2001,69680896.0,A,Official figure
2002,72766304.0,A,Official figure
2003,65760800.0,A,Official figure
2004,72156200.0,A,Official figure
2005,68636896.0,A,Official figure
2006,69354496.0,A,Official figure
2007,75806704.0,A,Official figure
2008,78570200.0,A,Official figure
2009,80679400.0,A,Official figure
2010,80803600.0,A,Official figure
2011,86874000.0,A,Official figure
2012,94880000.0,A,Official figure
2013,93510000.0,A,Official figure
2014,95850000.0,A,Official figure
2015,86530000.0,A,Official figure
2016,92290000.0,A,Official figure
2017,98510220.0,A,Official figure
2018,99869520.0,A,Official figure
2019,103596230.0,A,Official figure
2020,107860510.0,A,Official figure
2021,109590000.0,A,Official figure
