Year,Value,Flag,Flag Description
1961,4312000.0,A,Official figure
1962,4607000.0,A,Official figure
1963,4561000.0,A,Official figure
1964,4664000.0,A,Official figure
1965,4823000.0,A,Official figure
1966,4893600.0,A,Official figure
1967,6269300.0,A,Official figure
1968,5701100.0,A,Official figure
1969,5674300.0,A,Official figure
1970,7485600.0,A,Official figure
1971,5100500.0,A,Official figure
1972,6388500.0,A,Official figure
1973,5803500.0,A,Official figure
1974,5558900.0,A,Official figure
1975,7255800.0,A,Official figure
1976,6361200.0,A,Official figure
1977,5973300.0,A,Official figure
1978,6199000.0,A,Official figure
1979,5602900.0,A,Official figure
1980,6957000.0,A,Official figure
1981,6897100.0,A,Official figure
1982,6548500.0,A,Official figure
1983,7922000.0,A,Official figure
1984,8441800.0,A,Official figure
1985,6643700.0,A,Official figure
1986,7592800.0,A,Official figure
1987,5721300.0,A,Official figure
1988,8228700.0,A,Official figure
1989,9651300.0,A,Official figure
1990,8961700.0,A,Official figure
1991,8064400.0,A,Official figure
1992,9992100.0,A,Official figure
1993,9601000.0,A,Official figure
1994,8884400.0,A,Official figure
1995,9534000.0,A,Official figure
1996,10769000.0,A,Official figure
1997,10816000.0,A,Official figure
1998,11147700.0,A,Official figure
1999,11509600.0,A,Official figure
2000,12043200.0,A,Official figure
2001,13160200.0,A,Official figure
2002,11151700.0,A,Official figure
2003,14984300.0,A,Official figure
2004,14172000.0,A,Official figure
2005,14709900.0,A,Official figure
2006,15097000.0,A,Official figure
2007,18955400.0,A,Official figure
2008,19731400.0,A,Official figure
2009,16719500.0,A,Official figure
2010,21725800.0,A,Official figure
2011,21760000.0,A,Official figure
2012,22260000.0,A,Official figure
2013,24259510.0,A,Official figure
2014,24259510.0,A,Official figure
2015,24170000.0,A,Official figure
2016,22570000.0,A,Official figure
2017,25899870.0,A,Official figure
2018,28752880.0,A,Official figure
2019,27715100.0,A,Official figure
2020,28765860.0,A,Official figure
2021,31650000.0,A,Official figure
