Year,Value,Flag,Flag Description
1961,53494496.0,A,Official figure
1962,49825552.0,A,Official figure
1963,55497008.0,A,Official figure
1964,58962000.0,A,Official figure
1965,45883504.0,A,Official figure
1966,45657008.0,A,Official figure
1967,56418304.0,A,Official figure
1968,59641808.0,A,Official figure
1969,60644544.0,A,Official figure
1970,63337808.0,A,Official figure
1971,64602000.0,A,Official figure
1972,58867952.0,A,Official figure
1973,66077008.0,A,Official figure
1974,59650000.0,A,Official figure
1975,73352000.0,A,Official figure
1976,63051904.0,A,Official figure
1977,79005600.0,A,Official figure
1978,80608496.0,A,Official figure
1979,63475696.0,A,Official figure
1980,80312000.0,A,Official figure
1981,79883008.0,A,Official figure
1982,70771696.0,A,Official figure
1983,90048000.0,A,Official figure
1984,87552800.0,A,Official figure
1985,95817696.0,A,Official figure
1986,90779408.0,A,Official figure
1987,85338704.0,A,Official figure
1988,106368800.0,A,Official figure
1989,110310608.0,A,Official figure
1990,111517408.0,A,Official figure
1991,112042000.0,A,Official figure
1992,109001200.0,A,Official figure
1993,120400000.0,A,Official figure
1994,122640000.0,A,Official figure
1995,115440000.0,A,Official figure
1996,122500000.0,A,Official figure
1997,123700000.0,A,Official figure
1998,129055000.0,A,Official figure
1999,134495904.0,A,Official figure
2000,127464896.0,A,Official figure
2001,139900000.0,A,Official figure
2002,107730304.0,A,Official figure
2003,132789000.0,A,Official figure
2004,124697104.0,A,Official figure
2005,137690096.0,A,Official figure
2006,139136992.0,A,Official figure
2007,144570000.0,A,Official figure
2008,148036000.0,A,Official figure
2009,135672992.0,A,Official figure
2010,143963008.0,A,Official figure
2011,157900000.0,A,Official figure
2012,157800000.0,A,Official figure
2013,159200000.0,A,Official figure
2014,157200000.0,A,Official figure
2015,156540000.0,A,Official figure
2016,163700000.0,A,Official figure
2017,169136415.0,A,Official figure
2018,174716730.0,A,Official figure
2019,178305480.0,A,Official figure
2020,186500000.0,A,Official figure
2021,195425000.0,A,Official figure
