Year,Value,Flag,Flag Description
1961,8029000.0,A,Official figure
1962,9748000.0,A,Official figure
1963,9198000.0,A,Official figure
1964,9683000.0,A,Official figure
1965,7581000.0,A,Official figure
1966,9224000.0,A,Official figure
1967,10048200.0,A,Official figure
1968,9803600.0,A,Official figure
1969,9721000.0,A,Official figure
1970,8104900.0,A,Official figure
1971,7721900.0,A,Official figure
1972,6967600.0,A,Official figure
1973,9097000.0,A,Official figure
1974,10414200.0,A,Official figure
1975,9504300.0,A,Official figure
1976,10524100.0,A,Official figure
1977,12064300.0,A,Official figure
1978,11436100.0,A,Official figure
1979,11647700.0,A,Official figure
1980,10431000.0,A,Official figure
1981,12061900.0,A,Official figure
1982,10753400.0,A,Official figure
1983,11919000.0,A,Official figure
1984,11402300.0,A,Official figure
1985,10197000.0,A,Official figure
1986,9185400.0,A,Official figure
1987,12196300.0,A,Official figure
1988,10170400.0,A,Official figure
1989,12898400.0,A,Official figure
1990,11681200.0,A,Official figure
1991,8099000.0,A,Official figure
1992,12806000.0,A,Official figure
1993,11415000.0,A,Official figure
1994,8965000.0,A,Official figure
1995,9327000.0,A,Official figure
1996,10934000.0,A,Official figure
1997,7528000.0,A,Official figure
1998,8415400.0,A,Official figure
1999,8684900.0,A,Official figure
2000,7529400.0,A,Official figure
2001,7556800.0,A,Official figure
2002,7070000.0,A,Official figure
2003,7012400.0,A,Official figure
2004,6681300.0,A,Official figure
2005,7244300.0,A,Official figure
2006,7629600.0,A,Official figure
2007,7150800.0,A,Official figure
2008,7925900.0,A,Official figure
2009,7245600.0,A,Official figure
2010,6698200.0,A,Official figure
2011,7003100.0,A,Official figure
2012,5980000.0,A,Official figure
2013,5280000.0,A,Official figure
2014,5540000.0,A,Official figure
2015,5450000.0,A,Official figure
2016,4240000.0,A,Official figure
2017,4567900.0,A,Official figure
2018,4803380.0,A,Official figure
2019,3475090.0,A,Official figure
2020,4772100.0,A,Official figure
2021,4810000.0,A,Official figure
