Year,Value,Flag,Flag Description
1961,2819000.0,A,Official figure
1962,3150000.0,A,Official figure
1963,2420000.0,A,Official figure
1964,2038000.0,A,Official figure
1965,2521000.0,A,Official figure
1966,2382000.0,A,Official figure
1967,2348400.0,A,Official figure
1968,3503600.0,A,Official figure
1969,2423800.0,A,Official figure
1970,2716300.0,A,Official figure
1971,2784400.0,A,Official figure
1972,2577000.0,A,Official figure
1973,2379100.0,A,Official figure
1974,2371000.0,A,Official figure
1975,3134700.0,A,Official figure
1976,3191900.0,A,Official figure
1977,2343800.0,A,Official figure
1978,2311200.0,A,Official figure
1979,2142000.0,A,Official figure
1980,1623700.0,A,Official figure
1981,2293000.0,A,Official figure
1982,1992600.0,A,Official figure
1983,1866800.0,A,Official figure
1984,1834000.0,A,Official figure
1985,1555900.0,A,Official figure
1986,1962500.0,A,Official figure
1987,1669400.0,A,Official figure
1988,1576800.0,A,Official figure
1989,1721600.0,A,Official figure
1990,1485700.0,A,Official figure
1991,1632400.0,A,Official figure
1992,1698700.0,A,Official figure
1993,1512400.0,A,Official figure
1994,1312700.0,A,Official figure
1995,1283000.0,A,Official figure
1996,1510000.0,A,Official figure
1997,1462000.0,A,Official figure
1998,1679400.0,A,Official figure
1999,1537800.0,A,Official figure
2000,1447000.0,A,Official figure
2001,1430600.0,A,Official figure
2002,1424500.0,A,Official figure
2003,1407400.0,A,Official figure
2004,1297600.0,A,Official figure
2005,1207100.0,A,Official figure
2006,1220600.0,A,Official figure
2007,1330000.0,A,Official figure
2008,1200000.0,A,Official figure
2009,1689100.0,A,Official figure
2010,1354700.0,A,Official figure
2011,1662900.0,A,Official figure
2012,1620000.0,A,Official figure
2013,1750000.0,A,Official figure
2014,1830000.0,A,Official figure
2015,1613000.0,A,Official figure
2016,1440000.0,A,Official figure
2017,1747450.0,A,Official figure
2018,1780810.0,A,Official figure
2019,1633070.0,A,Official figure
2020,1721830.0,A,Official figure
2021,1660000.0,A,Official figure
