Year,Value,Flag,Flag Description
1961,7725000.0,A,Official figure
1962,7855000.0,A,Official figure
1963,7921000.0,A,Official figure
1964,8506000.0,A,Official figure
1965,6634000.0,A,Official figure
1966,7587000.0,A,Official figure
1967,8976300.0,A,Official figure
1968,7253500.0,A,Official figure
1969,9176000.0,A,Official figure
1970,12171600.0,A,Official figure
1971,9197000.0,A,Official figure
1972,7404500.0,A,Official figure
1973,11557000.0,A,Official figure
1974,7020900.0,A,Official figure
1975,10456600.0,A,Official figure
1976,9649700.0,A,Official figure
1977,9666000.0,A,Official figure
1978,10660700.0,A,Official figure
1979,8094200.0,A,Official figure
1980,9336900.0,A,Official figure
1981,10136200.0,A,Official figure
1982,8583400.0,A,Official figure
1983,12232000.0,A,Official figure
1984,9770700.0,A,Official figure
1985,7399100.0,A,Official figure
1986,8383300.0,A,Official figure
1987,6865900.0,A,Official figure
1988,11352900.0,A,Official figure
1989,10721100.0,A,Official figure
1990,10423800.0,A,Official figure
1991,8128900.0,A,Official figure
1992,12280900.0,A,Official figure
1993,8488400.0,A,Official figure
1994,10299300.0,A,Official figure
1995,8661100.0,A,Official figure
1996,10940500.0,A,Official figure
1997,10376200.0,A,Official figure
1998,10234500.0,A,Official figure
1999,8689900.0,A,Official figure
2000,10077800.0,A,Official figure
2001,11235300.0,A,Official figure
2002,6493900.0,A,Official figure
2003,14638800.0,A,Official figure
2004,10841300.0,A,Official figure
2005,10509200.0,A,Official figure
2006,10346900.0,A,Official figure
2007,12673000.0,A,Official figure
2008,11371800.0,A,Official figure
2009,8776800.0,A,Official figure
2010,13293000.0,A,Official figure
2011,12660000.0,A,Official figure
2012,10750000.0,A,Official figure
2013,10910000.0,A,Official figure
2014,11420000.0,A,Official figure
2015,11630000.0,A,Official figure
2016,10280000.0,A,Official figure
2017,11556890.0,A,Official figure
2018,11633080.0,A,Official figure
2019,10235830.0,A,Official figure
2020,12488470.0,A,Official figure
2021,13210000.0,A,Official figure
