Year,Value,Flag,Flag Description
1961,288000.0,A,Official figure
1962,295000.0,E,Estimated value
1963,305000.0,E,Estimated value
1964,315000.0,E,Estimated value
1965,325000.0,E,Estimated value
1966,350000.0,E,Estimated value
1967,400000.0,E,Estimated value
1968,500000.0,E,Estimated value
1969,600000.0,E,Estimated value
1970,700000.0,E,Estimated value
1971,800000.0,E,Estimated value
1972,900000.0,E,Estimated value
1973,1000000.0,E,Estimated value
1974,1100000.0,E,Estimated value
1975,1200000.0,E,Estimated value
1976,1300000.0,E,Estimated value
1977,1400000.0,E,Estimated value
1978,1500000.0,E,Estimated value
1979,1600000.0,E,Estimated value
1980,1700000.0,E,Estimated value
1981,1800000.0,E,Estimated value
1982,1900000.0,E,Estimated value
1983,2000000.0,E,Estimated value
1984,2100000.0,E,Estimated value
1985,2100000.0,E,Estimated value
1986,2200000.0,E,Estimated value
1987,2200000.0,E,Estimated value
1988,2311789.0,A,Official figure
1989,2341561.0,A,Official figure
1990,2373632.0,A,Official figure
1991,2796431.0,A,Official figure
1992,4357050.0,A,Official figure
1993,3590000.0,A,Official figure
1994,3910000.0,A,Official figure
1995,4262500.0,E,Estimated value
1996,4615000.0,E,Estimated value
1997,4967500.0,E,Estimated value
1998,5320000.0,A,Official figure
1999,5620000.0,A,Official figure
2000,5909400.0,A,Official figure
2001,5506500.0,A,Official figure
2002,5678200.0,A,Official figure
2003,5392000.0,A,Official figure
2004,5594600.0,A,Official figure
2005,6113500.0,A,Official figure
2006,5637300.0,A,Official figure
2007,5584000.0,A,Official figure
2008,5910000.0,A,Official figure
2009,6869600.0,A,Official figure
2010,7281400.0,A,Official figure
2011,7949000.0,A,Official figure
2012,8412000.0,A,Official figure
2013,8534000.0,A,Official figure
2014,9039220.0,A,Official figure
2015,8585000.0,A,Official figure
2016,8806000.0,A,Official figure
2017,8807000.0,A,Official figure
2018,9037000.0,A,Official figure
2019,9127000.0,A,Official figure
2020,9272000.0,A,Official figure
2021,9560000.0,A,Official figure
