Year,Value,Flag,Flag Description
1961,413000.0,A,Official figure
1962,400000.0,E,Estimated value
1963,410000.0,E,Estimated value
1964,500000.0,E,Estimated value
1965,520000.0,E,Estimated value
1966,600000.0,E,Estimated value
1967,650000.0,E,Estimated value
1968,750000.0,E,Estimated value
1969,900000.0,E,Estimated value
1970,950000.0,E,Estimated value
1971,1000000.0,E,Estimated value
1972,1100000.0,E,Estimated value
1973,1100000.0,E,Estimated value
1974,1300000.0,E,Estimated value
1975,1300000.0,E,Estimated value
1976,1400000.0,E,Estimated value
1977,1500000.0,E,Estimated value
1978,1600000.0,E,Estimated value
1979,1800000.0,E,Estimated value
1980,1900000.0,E,Estimated value
1981,2000000.0,E,Estimated value
1982,2200000.0,E,Estimated value
1983,2300000.0,E,Estimated value
1984,2400000.0,E,Estimated value
1985,2600000.0,E,Estimated value
1986,2700000.0,E,Estimated value
1987,2900000.0,E,Estimated value
1988,3000000.0,E,Estimated value
1989,3200000.0,E,Estimated value
1990,3394897.0,A,Official figure
1991,2998061.0,A,Official figure
1992,4220053.0,A,Official figure
1993,2870000.0,A,Official figure
1994,3780000.0,A,Official figure
1995,4000000.0,E,Estimated value
1996,4500000.0,E,Estimated value
1997,5000000.0,E,Estimated value
1998,4470000.0,A,Official figure
1999,4690000.0,A,Official figure
2000,4720000.0,A,Official figure
2001,4690000.0,A,Official figure
2002,4890000.0,A,Official figure
2003,4800000.0,A,Official figure
2004,4940200.0,A,Official figure
2005,4514800.0,A,Official figure
2006,5323100.0,A,Official figure
2007,5538000.0,A,Official figure
2008,5777000.0,A,Official figure
2009,6531900.0,A,Official figure
2010,6569000.0,A,Official figure
2011,6745000.0,A,Official figure
2012,7349000.0,A,Official figure
2013,7887000.0,A,Official figure
2014,8573280.0,A,Official figure
2015,7926000.0,A,Official figure
2016,8090000.0,A,Official figure
2017,8557000.0,A,Official figure
2018,8668000.0,A,Official figure
2019,9083000.0,A,Official figure
2020,8941000.0,A,Official figure
2021,9225000.0,A,Official figure
