Year,Value,Flag,Flag Description
1961,250000.0,E,Estimated value
1962,265000.0,E,Estimated value
1963,271000.0,E,Estimated value
1964,280000.0,E,Estimated value
1965,295000.0,E,Estimated value
1966,305000.0,E,Estimated value
1967,312000.0,E,Estimated value
1968,321000.0,E,Estimated value
1969,350000.0,E,Estimated value
1970,355000.0,E,Estimated value
1971,360000.0,E,Estimated value
1972,385000.0,E,Estimated value
1973,390000.0,E,Estimated value
1974,405000.0,E,Estimated value
1975,415000.0,E,Estimated value
1976,460000.0,E,Estimated value
1977,484000.0,E,Estimated value
1978,495000.0,E,Estimated value
1979,540000.0,E,Estimated value
1980,550000.0,E,Estimated value
1981,570000.0,E,Estimated value
1982,600000.0,E,Estimated value
1983,612000.0,E,Estimated value
1984,618000.0,E,Estimated value
1985,650000.0,E,Estimated value
1986,660000.0,E,Estimated value
1987,678000.0,E,Estimated value
1988,692000.0,E,Estimated value
1989,707000.0,E,Estimated value
1990,717000.0,E,Estimated value
1991,731158.0,T,Unofficial figure
1992,732000.0,E,Estimated value
1993,735000.0,E,Estimated value
1994,755000.0,E,Estimated value
1995,760000.0,E,Estimated value
1996,765000.0,E,Estimated value
1997,767215.45,I,Imputed value
1998,770000.0,E,Estimated value
1999,780000.0,E,Estimated value
2000,785000.0,E,Estimated value
2001,790000.0,E,Estimated value
2002,803791.73,I,Imputed value
2003,819184.52,I,Imputed value
2004,835702.28,I,Imputed value
2005,852975.95,I,Imputed value
2006,917027.66,I,Imputed value
2007,942979.67,I,Imputed value
2008,970325.63,I,Imputed value
2009,997489.83,I,Imputed value
2010,1023292.85,I,Imputed value
2011,1047525.57,I,Imputed value
2012,1075000.0,E,Estimated value
2013,1080000.0,E,Estimated value
2014,1095119.75,I,Imputed value
2015,1152478.67,I,Imputed value
2016,1109199.48,E,Estimated value
2017,1134650.53,I,Imputed value
2018,1132109.56,E,Estimated value
2019,1125319.86,E,Estimated value
2020,1130693.32,E,Estimated value
2021,1129374.25,E,Estimated value
