Year,Value,Flag,Flag Description
1961,71000.0,E,Estimated value
1962,75000.0,E,Estimated value
1963,77000.0,E,Estimated value
1964,80000.0,E,Estimated value
1965,85000.0,E,Estimated value
1966,88000.0,E,Estimated value
1967,89000.0,E,Estimated value
1968,96000.0,E,Estimated value
1969,100000.0,E,Estimated value
1970,102000.0,E,Estimated value
1971,109000.0,E,Estimated value
1972,114000.0,E,Estimated value
1973,116000.0,E,Estimated value
1974,118000.0,E,Estimated value
1975,120000.0,E,Estimated value
1976,125000.0,E,Estimated value
1977,126000.0,E,Estimated value
1978,128000.0,E,Estimated value
1979,133000.0,E,Estimated value
1980,140000.0,E,Estimated value
1981,145000.0,E,Estimated value
1982,153000.0,E,Estimated value
1983,160000.0,E,Estimated value
1984,165000.0,E,Estimated value
1985,170000.0,E,Estimated value
1986,184000.0,E,Estimated value
1987,188000.0,E,Estimated value
1988,195000.0,E,Estimated value
1989,197000.0,E,Estimated value
1990,200000.0,E,Estimated value
1991,205900.0,T,Unofficial figure
1992,208000.0,E,Estimated value
1993,210000.0,E,Estimated value
1994,215000.0,E,Estimated value
1995,220000.0,E,Estimated value
1996,225000.0,E,Estimated value
1997,250000.0,E,Estimated value
1998,249017.81,I,Imputed value
1999,255539.66,I,Imputed value
2000,255000.0,E,Estimated value
2001,270876.94,I,Imputed value
2002,281146.77,I,Imputed value
2003,291544.24,I,Imputed value
2004,301927.37,I,Imputed value
2005,313709.08,I,Imputed value
2006,324625.31,I,Imputed value
2007,335665.99,I,Imputed value
2008,346812.15,I,Imputed value
2009,358052.2,I,Imputed value
2010,369379.51,I,Imputed value
2011,1436500.0,A,Official figure
2012,1727000.0,A,Official figure
2013,1789000.0,A,Official figure
2014,1810000.0,A,Official figure
2015,2145000.0,A,Official figure
2016,2325000.0,A,Official figure
2017,2182000.0,A,Official figure
2018,2520000.0,A,Official figure
2019,2495000.0,A,Official figure
2020,3157000.0,A,Official figure
2021,3254000.0,A,Official figure
