Year,Value,Flag,Flag Description
1961,130000.0,E,Estimated value
1962,135000.0,E,Estimated value
1963,140000.0,E,Estimated value
1964,150000.0,E,Estimated value
1965,155000.0,E,Estimated value
1966,165000.0,E,Estimated value
1967,180000.0,E,Estimated value
1968,183000.0,E,Estimated value
1969,190000.0,E,Estimated value
1970,195000.0,E,Estimated value
1971,200000.0,E,Estimated value
1972,220000.0,E,Estimated value
1973,230000.0,E,Estimated value
1974,250000.0,E,Estimated value
1975,270000.0,E,Estimated value
1976,275000.0,E,Estimated value
1977,290000.0,E,Estimated value
1978,310000.0,E,Estimated value
1979,340000.0,E,Estimated value
1980,370000.0,E,Estimated value
1981,400000.0,E,Estimated value
1982,440000.0,E,Estimated value
1983,470000.0,E,Estimated value
1984,500000.0,E,Estimated value
1985,530000.0,E,Estimated value
1986,550000.0,E,Estimated value
1987,580000.0,E,Estimated value
1988,600000.0,E,Estimated value
1989,610000.0,E,Estimated value
1990,615000.0,E,Estimated value
1991,633000.0,T,Unofficial figure
1992,620000.0,E,Estimated value
1993,625000.0,E,Estimated value
1994,630000.0,E,Estimated value
1995,635000.0,E,Estimated value
1996,640000.0,E,Estimated value
1997,646357.08,I,Imputed value
1998,645787.8,I,Imputed value
1999,648469.78,I,Imputed value
2000,645000.0,E,Estimated value
2001,657153.03,I,Imputed value
2002,665402.67,I,Imputed value
2003,674080.08,I,Imputed value
2004,758528.68,I,Imputed value
2005,792199.13,I,Imputed value
2006,819427.0,I,Imputed value
2007,847701.58,I,Imputed value
2008,876007.99,I,Imputed value
2009,904054.36,I,Imputed value
2010,931687.99,I,Imputed value
2011,739900.0,A,Official figure
2012,791000.0,A,Official figure
2013,868000.0,A,Official figure
2014,761000.0,A,Official figure
2015,863000.0,A,Official figure
2016,935000.0,A,Official figure
2017,1097000.0,A,Official figure
2018,1231000.0,A,Official figure
2019,1266000.0,A,Official figure
2020,1368000.0,A,Official figure
2021,1478000.0,A,Official figure
