Year,Value,Flag,Flag Description
1961,17000.0,E,Estimated value
1962,17200.0,E,Estimated value
1963,17300.0,E,Estimated value
1964,19000.0,E,Estimated value
1965,19200.0,E,Estimated value
1966,19800.0,E,Estimated value
1967,20150.0,E,Estimated value
1968,20200.0,E,Estimated value
1969,20800.0,E,Estimated value
1970,20900.0,E,Estimated value
1971,21000.0,E,Estimated value
1972,21400.0,E,Estimated value
1973,22500.0,E,Estimated value
1974,23400.0,E,Estimated value
1975,24100.0,E,Estimated value
1976,24300.0,E,Estimated value
1977,25400.0,E,Estimated value
1978,25550.0,E,Estimated value
1979,27000.0,E,Estimated value
1980,28500.0,E,Estimated value
1981,28600.0,E,Estimated value
1982,30800.0,E,Estimated value
1983,31600.0,E,Estimated value
1984,34500.0,E,Estimated value
1985,36000.0,E,Estimated value
1986,37800.0,E,Estimated value
1987,39000.0,E,Estimated value
1988,41400.0,E,Estimated value
1989,41500.0,E,Estimated value
1990,42000.0,E,Estimated value
1991,42230.0,T,Unofficial figure
1992,43000.0,E,Estimated value
1993,43500.0,E,Estimated value
1994,44000.0,E,Estimated value
1995,45500.0,E,Estimated value
1996,47000.0,E,Estimated value
1997,48000.0,E,Estimated value
1998,49000.0,E,Estimated value
1999,49413.26,I,Imputed value
2000,50000.0,E,Estimated value
2001,50500.0,E,Estimated value
2002,51343.82,I,Imputed value
2003,51643.16,I,Imputed value
2004,51983.54,I,Imputed value
2005,52354.72,I,Imputed value
2006,51000.0,E,Estimated value
2007,54821.81,I,Imputed value
2008,57014.12,I,Imputed value
2009,59433.12,I,Imputed value
2010,61938.97,I,Imputed value
2011,64350.49,I,Imputed value
2012,68000.0,E,Estimated value
2013,68000.0,E,Estimated value
2014,69615.25,I,Imputed value
2015,72849.4,I,Imputed value
2016,70154.88,E,Estimated value
2017,71553.68,I,Imputed value
2018,71519.32,E,Estimated value
2019,71075.96,E,Estimated value
2020,71382.99,E,Estimated value
2021,71326.09,E,Estimated value
