Year,Value,Flag,Flag Description
1961,26000.0,E,Estimated value
1962,29500.0,E,Estimated value
1963,31500.0,E,Estimated value
1964,34000.0,E,Estimated value
1965,38000.0,E,Estimated value
1966,40000.0,E,Estimated value
1967,42000.0,E,Estimated value
1968,44000.0,E,Estimated value
1969,46000.0,E,Estimated value
1970,50000.0,E,Estimated value
1971,51000.0,E,Estimated value
1972,53000.0,E,Estimated value
1973,58000.0,E,Estimated value
1974,59000.0,E,Estimated value
1975,61000.0,E,Estimated value
1976,62600.0,E,Estimated value
1977,64000.0,E,Estimated value
1978,69000.0,E,Estimated value
1979,72000.0,E,Estimated value
1980,74000.0,E,Estimated value
1981,80500.0,E,Estimated value
1982,83700.0,E,Estimated value
1983,87000.0,E,Estimated value
1984,91000.0,E,Estimated value
1985,91500.0,E,Estimated value
1986,93000.0,E,Estimated value
1987,93500.0,E,Estimated value
1988,95000.0,E,Estimated value
1989,98000.0,E,Estimated value
1990,102000.0,E,Estimated value
1991,105690.0,T,Unofficial figure
1992,109000.0,E,Estimated value
1993,111000.0,E,Estimated value
1994,113000.0,E,Estimated value
1995,114000.0,E,Estimated value
1996,115000.0,E,Estimated value
1997,116000.0,E,Estimated value
1998,117000.0,E,Estimated value
1999,118000.0,E,Estimated value
2000,119000.0,E,Estimated value
2001,120000.0,E,Estimated value
2002,122501.59,I,Imputed value
2003,125142.01,I,Imputed value
2004,127949.54,I,Imputed value
2005,130894.2,I,Imputed value
2006,141575.84,I,Imputed value
2007,145967.5,I,Imputed value
2008,150638.82,I,Imputed value
2009,155271.2,I,Imputed value
2010,159595.78,I,Imputed value
2011,163556.01,I,Imputed value
2012,168000.0,E,Estimated value
2013,168000.0,E,Estimated value
2014,169475.0,I,Imputed value
2015,180568.15,I,Imputed value
2016,172681.05,E,Estimated value
2017,177149.09,I,Imputed value
2018,182885.05,I,Imputed value
2019,177571.73,E,Estimated value
2020,179201.96,E,Estimated value
2021,179886.25,E,Estimated value
