Year,Value,Flag,Flag Description
1961,990000.0,E,Estimated value
1962,1050000.0,E,Estimated value
1963,1100000.0,E,Estimated value
1964,1150000.0,E,Estimated value
1965,1200000.0,E,Estimated value
1966,1230000.0,E,Estimated value
1967,1300000.0,E,Estimated value
1968,1365000.0,E,Estimated value
1969,1400000.0,E,Estimated value
1970,1480000.0,E,Estimated value
1971,1540000.0,E,Estimated value
1972,1585000.0,E,Estimated value
1973,1635000.0,E,Estimated value
1974,1660000.0,E,Estimated value
1975,1700000.0,E,Estimated value
1976,1760000.0,E,Estimated value
1977,1810000.0,E,Estimated value
1978,1880000.0,E,Estimated value
1979,1940000.0,E,Estimated value
1980,2000000.0,E,Estimated value
1981,2180000.0,E,Estimated value
1982,2300000.0,E,Estimated value
1983,2360000.0,E,Estimated value
1984,2480000.0,E,Estimated value
1985,2550000.0,E,Estimated value
1986,2660000.0,E,Estimated value
1987,2775000.0,E,Estimated value
1988,2870000.0,E,Estimated value
1989,2960000.0,E,Estimated value
1990,3000000.0,E,Estimated value
1991,3124000.0,T,Unofficial figure
1992,2753000.0,A,Official figure
1993,5011000.0,A,Official figure
1994,4420000.0,A,Official figure
1995,6230000.0,A,Official figure
1996,6000000.0,E,Estimated value
1997,6100000.0,E,Estimated value
1998,7740000.0,A,Official figure
1999,7880000.0,A,Official figure
2000,8120000.0,A,Official figure
2001,7700000.0,A,Official figure
2002,8350000.0,A,Official figure
2003,7830000.0,A,Official figure
2004,8477300.0,A,Official figure
2005,8600800.0,A,Official figure
2006,9364300.0,A,Official figure
2007,9453000.0,A,Official figure
2008,9678000.0,A,Official figure
2009,10377600.0,A,Official figure
2010,10563000.0,A,Official figure
2011,11896000.0,A,Official figure
2012,12634000.0,A,Official figure
2013,13444000.0,A,Official figure
2014,13557820.0,A,Official figure
2015,12589000.0,A,Official figure
2016,12515000.0,A,Official figure
2017,12510000.0,A,Official figure
2018,12801000.0,A,Official figure
2019,12680000.0,A,Official figure
2020,12682000.0,A,Official figure
2021,12874000.0,A,Official figure
