Year,Value,Flag,Flag Description
1961,464000.0,A,Official figure
1962,480000.0,E,Estimated value
1963,495000.0,E,Estimated value
1964,510000.0,E,Estimated value
1965,525000.0,E,Estimated value
1966,540000.0,E,Estimated value
1967,560000.0,E,Estimated value
1968,580000.0,E,Estimated value
1969,600000.0,E,Estimated value
1970,620000.0,E,Estimated value
1971,640000.0,E,Estimated value
1972,650000.0,E,Estimated value
1973,660000.0,E,Estimated value
1974,750000.0,E,Estimated value
1975,830000.0,E,Estimated value
1976,1050000.0,E,Estimated value
1977,1020000.0,E,Estimated value
1978,950000.0,E,Estimated value
1979,1300000.0,E,Estimated value
1980,1500000.0,E,Estimated value
1981,1800000.0,E,Estimated value
1982,1750000.0,E,Estimated value
1983,2000000.0,E,Estimated value
1984,2100000.0,E,Estimated value
1985,2300000.0,E,Estimated value
1986,2280000.0,E,Estimated value
1987,2386776.0,A,Official figure
1988,3103301.0,A,Official figure
1989,4600000.0,A,Official figure
1990,4603446.0,A,Official figure
1991,4244366.0,A,Official figure
1992,4849568.0,A,Official figure
1993,5000000.0,A,Official figure
1994,4930000.0,A,Official figure
1995,5260000.0,A,Official figure
1996,6000000.0,E,Estimated value
1997,7000000.0,E,Estimated value
1998,6180000.0,A,Official figure
1999,8270000.0,A,Official figure
2000,7430000.0,A,Official figure
2001,7240000.0,A,Official figure
2002,7462300.0,A,Official figure
2003,7616700.0,A,Official figure
2004,8125600.0,A,Official figure
2005,8825400.0,A,Official figure
2006,9820400.0,A,Official figure
2007,10055000.0,A,Official figure
2008,10303000.0,A,Official figure
2009,11148800.0,A,Official figure
2010,12433200.0,A,Official figure
2011,16526000.0,A,Official figure
2012,18653000.0,A,Official figure
2013,18227000.0,A,Official figure
2014,18735910.0,A,Official figure
2015,16385000.0,A,Official figure
2016,18732000.0,A,Official figure
2017,20708000.0,A,Official figure
2018,19759000.0,A,Official figure
2019,19007000.0,A,Official figure
2020,20550000.0,A,Official figure
2021,21181000.0,A,Official figure
