Year,Value,Flag,Flag Description
1961,815000.0,E,Estimated value
1962,870000.0,E,Estimated value
1963,940000.0,E,Estimated value
1964,985000.0,E,Estimated value
1965,1000000.0,E,Estimated value
1966,1120000.0,E,Estimated value
1967,1180000.0,E,Estimated value
1968,1220000.0,E,Estimated value
1969,1250000.0,E,Estimated value
1970,1330000.0,E,Estimated value
1971,1380000.0,E,Estimated value
1972,1440000.0,E,Estimated value
1973,1475000.0,E,Estimated value
1974,1550000.0,E,Estimated value
1975,1600000.0,E,Estimated value
1976,1650000.0,E,Estimated value
1977,1690000.0,E,Estimated value
1978,1800000.0,E,Estimated value
1979,1900000.0,E,Estimated value
1980,1960000.0,E,Estimated value
1981,2100000.0,E,Estimated value
1982,2180000.0,E,Estimated value
1983,2250000.0,E,Estimated value
1984,2400000.0,E,Estimated value
1985,2550000.0,E,Estimated value
1986,2630000.0,E,Estimated value
1987,2685000.0,E,Estimated value
1988,2800000.0,E,Estimated value
1989,2850000.0,E,Estimated value
1990,2860000.0,E,Estimated value
1991,2933000.0,T,Unofficial figure
1992,2950000.0,E,Estimated value
1993,3100000.0,E,Estimated value
1994,3074013.92,I,Imputed value
1995,3150000.0,E,Estimated value
1996,3200000.0,E,Estimated value
1997,3300000.0,E,Estimated value
1998,3350000.0,E,Estimated value
1999,3400000.0,E,Estimated value
2000,3450000.0,E,Estimated value
2001,3500000.0,E,Estimated value
2002,3605715.51,I,Imputed value
2003,3702215.28,I,Imputed value
2004,3800848.19,I,Imputed value
2005,3900938.31,I,Imputed value
2006,4136382.31,I,Imputed value
2007,4259627.32,I,Imputed value
2008,4388123.37,I,Imputed value
2009,4515817.82,I,Imputed value
2010,4637530.92,I,Imputed value
2011,4752830.35,I,Imputed value
2012,4900000.0,E,Estimated value
2013,4900000.0,E,Estimated value
2014,5021477.44,I,Imputed value
2015,5243814.49,I,Imputed value
2016,5055097.31,E,Estimated value
2017,5203113.51,I,Imputed value
2018,0.0,M,"Missing value (data cannot exist, not applicable)"
2019,0.0,M,"Missing value (data cannot exist, not applicable)"
2020,0.0,M,"Missing value (data cannot exist, not applicable)"
2021,0.0,M,"Missing value (data cannot exist, not applicable)"
