Year,Value,Flag,Flag Description
1961,775000.0,E,Estimated value
1962,790000.0,E,Estimated value
1963,825000.0,E,Estimated value
1964,845000.0,E,Estimated value
1965,900000.0,E,Estimated value
1966,940000.0,E,Estimated value
1967,970000.0,E,Estimated value
1968,1000000.0,E,Estimated value
1969,1050000.0,E,Estimated value
1970,1150000.0,E,Estimated value
1971,1190000.0,E,Estimated value
1972,1240000.0,E,Estimated value
1973,1340000.0,E,Estimated value
1974,1375000.0,E,Estimated value
1975,1430000.0,E,Estimated value
1976,1480000.0,E,Estimated value
1977,1530000.0,E,Estimated value
1978,1550000.0,E,Estimated value
1979,1625000.0,E,Estimated value
1980,1700000.0,E,Estimated value
1981,1740000.0,E,Estimated value
1982,1770000.0,E,Estimated value
1983,1850000.0,E,Estimated value
1984,1900000.0,E,Estimated value
1985,1950000.0,E,Estimated value
1986,2050000.0,E,Estimated value
1987,2110000.0,E,Estimated value
1988,2190000.0,E,Estimated value
1989,2250000.0,E,Estimated value
1990,2280000.0,E,Estimated value
1991,2327000.0,T,Unofficial figure
1992,2400000.0,E,Estimated value
1993,2405000.0,E,Estimated value
1994,3030000.0,A,Official figure
1995,3900000.0,A,Official figure
1996,3800000.0,E,Estimated value
1997,3700000.0,E,Estimated value
1998,3210000.0,A,Official figure
1999,3380000.0,A,Official figure
2000,3420000.0,A,Official figure
2001,3340000.0,A,Official figure
2002,3320000.0,A,Official figure
2003,3530000.0,A,Official figure
2004,3631400.0,A,Official figure
2005,3512400.0,A,Official figure
2006,3974600.0,A,Official figure
2007,4070000.0,A,Official figure
2008,4179000.0,A,Official figure
2009,4528000.0,A,Official figure
2010,4803000.0,A,Official figure
2011,5784000.0,A,Official figure
2012,6259000.0,A,Official figure
2013,6350000.0,A,Official figure
2014,6346370.0,A,Official figure
2015,5709000.0,A,Official figure
2016,5849000.0,A,Official figure
2017,6003000.0,A,Official figure
2018,6095000.0,A,Official figure
2019,6176000.0,A,Official figure
2020,6355000.0,A,Official figure
2021,6466000.0,A,Official figure
