Year,Value,Flag,Flag Description
1961,185000.0,E,Estimated value
1962,186000.0,E,Estimated value
1963,190000.0,E,Estimated value
1964,200000.0,E,Estimated value
1965,210000.0,E,Estimated value
1966,205000.0,E,Estimated value
1967,210000.0,E,Estimated value
1968,220000.0,E,Estimated value
1969,230000.0,E,Estimated value
1970,240000.0,E,Estimated value
1971,250000.0,E,Estimated value
1972,260000.0,E,Estimated value
1973,270000.0,E,Estimated value
1974,277000.0,E,Estimated value
1975,280000.0,E,Estimated value
1976,283000.0,E,Estimated value
1977,285000.0,E,Estimated value
1978,295000.0,E,Estimated value
1979,305000.0,E,Estimated value
1980,320000.0,E,Estimated value
1981,330000.0,E,Estimated value
1982,350000.0,E,Estimated value
1983,355000.0,E,Estimated value
1984,360000.0,E,Estimated value
1985,365000.0,E,Estimated value
1986,370000.0,E,Estimated value
1987,375000.0,E,Estimated value
1988,385000.0,E,Estimated value
1989,390000.0,E,Estimated value
1990,398084.0,I,Imputed value
1991,374000.0,T,Unofficial figure
1992,380000.0,E,Estimated value
1993,385000.0,E,Estimated value
1994,388000.0,E,Estimated value
1995,390000.0,E,Estimated value
1996,400000.0,E,Estimated value
1997,405349.39,I,Imputed value
1998,410000.0,E,Estimated value
1999,416733.53,I,Imputed value
2000,420000.0,E,Estimated value
2001,432626.45,I,Imputed value
2002,443107.87,I,Imputed value
2003,454062.3,I,Imputed value
2004,465352.44,I,Imputed value
2005,504808.16,I,Imputed value
2006,521489.71,I,Imputed value
2007,537780.2,I,Imputed value
2008,554346.17,I,Imputed value
2009,570534.42,I,Imputed value
2010,586127.26,I,Imputed value
2011,600978.46,I,Imputed value
2012,620000.0,E,Estimated value
2013,620000.0,E,Estimated value
2014,628502.28,I,Imputed value
2015,661863.45,I,Imputed value
2016,636788.57,E,Estimated value
2017,650779.63,I,Imputed value
2018,673082.92,I,Imputed value
2019,653550.38,E,Estimated value
2020,659137.64,E,Estimated value
2021,661923.65,E,Estimated value
