Year,Value,Flag,Flag Description
1961,550000.0,E,Estimated value
1962,550000.0,E,Estimated value
1963,570000.0,E,Estimated value
1964,600000.0,E,Estimated value
1965,625000.0,E,Estimated value
1966,655000.0,E,Estimated value
1967,700000.0,E,Estimated value
1968,730000.0,E,Estimated value
1969,750000.0,E,Estimated value
1970,780000.0,E,Estimated value
1971,810000.0,E,Estimated value
1972,840000.0,E,Estimated value
1973,880000.0,E,Estimated value
1974,930000.0,E,Estimated value
1975,960000.0,E,Estimated value
1976,1000000.0,E,Estimated value
1977,1000000.0,E,Estimated value
1978,1050000.0,E,Estimated value
1979,1070000.0,E,Estimated value
1980,1125000.0,E,Estimated value
1981,1200000.0,E,Estimated value
1982,1240000.0,E,Estimated value
1983,1250000.0,E,Estimated value
1984,1250000.0,E,Estimated value
1985,1380000.0,E,Estimated value
1986,1430000.0,E,Estimated value
1987,1625000.0,E,Estimated value
1988,1690000.0,E,Estimated value
1989,1790000.0,E,Estimated value
1990,1900000.0,E,Estimated value
1991,2106000.0,T,Unofficial figure
1992,2100000.0,E,Estimated value
1993,2150000.0,E,Estimated value
1994,2400000.0,E,Estimated value
1995,2500000.0,E,Estimated value
1996,2000000.0,E,Estimated value
1997,2200000.0,E,Estimated value
1998,2420000.0,A,Official figure
1999,2700000.0,A,Official figure
2000,2710000.0,A,Official figure
2001,3010000.0,A,Official figure
2002,2040000.0,A,Official figure
2003,2061800.0,A,Official figure
2004,1901200.0,A,Official figure
2005,1944800.0,A,Official figure
2006,2270000.0,A,Official figure
2007,2402000.0,A,Official figure
2008,2491000.0,A,Official figure
2009,2916000.0,A,Official figure
2010,3029400.0,A,Official figure
2011,3517000.0,A,Official figure
2012,3744800.0,A,Official figure
2013,4006200.0,A,Official figure
2014,3868630.0,A,Official figure
2015,4652000.0,A,Official figure
2016,4811000.0,A,Official figure
2017,5345000.0,A,Official figure
2018,5422000.0,A,Official figure
2019,5562000.0,A,Official figure
2020,5848000.0,A,Official figure
2021,5846000.0,A,Official figure
