Year,Value,Flag,Flag Description
1961,64000.0,E,Estimated value
1962,70000.0,E,Estimated value
1963,74000.0,E,Estimated value
1964,81000.0,E,Estimated value
1965,85000.0,E,Estimated value
1966,92000.0,E,Estimated value
1967,96000.0,E,Estimated value
1968,100000.0,E,Estimated value
1969,110000.0,E,Estimated value
1970,112000.0,E,Estimated value
1971,120000.0,E,Estimated value
1972,124000.0,E,Estimated value
1973,129000.0,E,Estimated value
1974,140000.0,E,Estimated value
1975,143000.0,E,Estimated value
1976,160000.0,E,Estimated value
1977,165000.0,E,Estimated value
1978,170000.0,E,Estimated value
1979,184000.0,E,Estimated value
1980,186000.0,E,Estimated value
1981,188000.0,E,Estimated value
1982,200000.0,E,Estimated value
1983,204000.0,E,Estimated value
1984,227000.0,E,Estimated value
1985,235000.0,E,Estimated value
1986,250000.0,E,Estimated value
1987,260000.0,E,Estimated value
1988,272000.0,E,Estimated value
1989,275000.0,E,Estimated value
1990,280000.0,E,Estimated value
1991,287000.0,T,Unofficial figure
1992,293000.0,E,Estimated value
1993,295000.0,E,Estimated value
1994,300319.03,I,Imputed value
1995,300000.0,E,Estimated value
1996,320000.0,E,Estimated value
1997,340000.0,E,Estimated value
1998,342980.88,I,Imputed value
1999,350234.41,I,Imputed value
2000,350000.0,E,Estimated value
2001,368003.09,I,Imputed value
2002,380074.32,I,Imputed value
2003,392404.8,I,Imputed value
2004,404799.82,I,Imputed value
2005,419407.06,I,Imputed value
2006,432546.25,I,Imputed value
2007,445812.38,I,Imputed value
2008,459139.01,I,Imputed value
2009,472473.11,I,Imputed value
2010,485770.64,I,Imputed value
2011,498989.18,I,Imputed value
2012,520000.0,E,Estimated value
2013,520000.0,E,Estimated value
2014,533609.55,I,Imputed value
2015,553910.57,I,Imputed value
2016,535840.04,E,Estimated value
2017,558047.62,I,Imputed value
2018,0.0,M,"Missing value (data cannot exist, not applicable)"
2019,0.0,M,"Missing value (data cannot exist, not applicable)"
2020,0.0,M,"Missing value (data cannot exist, not applicable)"
2021,0.0,M,"Missing value (data cannot exist, not applicable)"
