Year,Value,Flag,Flag Description
1961,130000.0,E,Estimated value
1962,137000.0,E,Estimated value
1963,144000.0,E,Estimated value
1964,126000.0,E,Estimated value
1965,108000.0,E,Estimated value
1966,100000.0,E,Estimated value
1967,100000.0,E,Estimated value
1968,100000.0,E,Estimated value
1969,100000.0,E,Estimated value
1970,100000.0,E,Estimated value
1971,110000.0,E,Estimated value
1972,110000.0,E,Estimated value
1973,120000.0,E,Estimated value
1974,83600.0,A,Official figure
1975,140600.0,A,Official figure
1976,129600.0,A,Official figure
1977,133300.0,A,Official figure
1978,167200.0,A,Official figure
1979,205600.0,A,Official figure
1980,216000.0,A,Official figure
1981,229700.0,A,Official figure
1982,245000.0,A,Official figure
1983,311000.0,A,Official figure
1984,268700.0,A,Official figure
1985,189600.0,A,Official figure
1986,208200.0,A,Official figure
1987,318600.0,A,Official figure
1988,313600.0,A,Official figure
1989,332700.0,A,Official figure
1990,350400.0,A,Official figure
1991,370700.0,A,Official figure
1992,355800.0,A,Official figure
1993,306000.0,A,Official figure
1994,403200.0,A,Official figure
1995,475300.0,A,Official figure
1996,437900.0,A,Official figure
1997,484400.0,A,Official figure
1998,570700.0,A,Official figure
1999,495300.0,A,Official figure
2000,524600.0,A,Official figure
2001,496800.0,T,Unofficial figure
2002,500000.0,E,Estimated value
2003,457000.0,A,Official figure
2004,691100.0,A,Official figure
2005,646600.0,A,Official figure
2006,598200.0,A,Official figure
2007,776300.0,A,Official figure
2008,1068500.0,A,Official figure
2009,831100.0,A,Official figure
2010,833970.0,A,Official figure
2011,1057800.0,A,Official figure
2012,1228000.0,A,Official figure
2013,1259000.0,A,Official figure
2014,1252000.0,A,Official figure
2015,1425000.0,A,Official figure
2016,1617000.0,A,Official figure
2017,1693000.0,A,Official figure
2018,1611000.0,A,Official figure
2019,2910000.0,A,Official figure
2020,2925000.0,A,Official figure
2021,3190000.0,A,Official figure
