Year,Value,Flag,Flag Description
1961,1200000.0,E,Estimated value
1962,1230000.0,E,Estimated value
1963,1260000.0,E,Estimated value
1964,1290000.0,E,Estimated value
1965,1320000.0,E,Estimated value
1966,1350000.0,E,Estimated value
1967,1629000.0,A,Official figure
1968,1700000.0,E,Estimated value
1969,1750000.0,E,Estimated value
1970,1800000.0,E,Estimated value
1971,1900000.0,E,Estimated value
1972,1920000.0,E,Estimated value
1973,1980000.0,E,Estimated value
1974,2000000.0,E,Estimated value
1975,2100000.0,E,Estimated value
1976,1950000.0,E,Estimated value
1977,2230000.0,E,Estimated value
1978,2200000.0,A,Official figure
1979,2499700.0,A,Official figure
1980,2504300.0,A,Official figure
1981,2647900.0,A,Official figure
1982,2426600.0,A,Official figure
1983,2699100.0,A,Official figure
1984,3098900.0,A,Official figure
1985,2862700.0,A,Official figure
1986,2532600.0,A,Official figure
1987,2700700.0,A,Official figure
1988,3347300.0,A,Official figure
1989,3065100.0,A,Official figure
1990,3226200.0,A,Official figure
1991,3584700.0,A,Official figure
1992,3490000.0,A,Official figure
1993,4010000.0,A,Official figure
1994,4040000.0,A,Official figure
1995,4080000.0,A,Official figure
1996,4180000.0,A,Official figure
1997,3200000.0,A,Official figure
1998,5331900.0,A,Official figure
1999,4899500.0,A,Official figure
2000,4721100.0,A,Official figure
2001,5252100.0,A,Official figure
2002,4209500.0,A,Official figure
2003,6267600.0,A,Official figure
2004,7760600.0,A,Official figure
2005,9432500.0,A,Official figure
2006,10847000.0,A,Official figure
2007,13900000.0,A,Official figure
2008,13565000.0,A,Official figure
2009,12158800.0,A,Official figure
2010,15118000.0,A,Official figure
2011,17511090.0,A,Official figure
2012,16813000.0,A,Official figure
2013,19299000.0,A,Official figure
2014,19401680.0,A,Official figure
2015,18927000.0,A,Official figure
2016,20931000.0,A,Official figure
2017,22427000.0,A,Official figure
2018,23262000.0,A,Official figure
2019,22819000.0,A,Official figure
2020,26091000.0,A,Official figure
2021,26641000.0,A,Official figure
