Year,Value,Flag,Flag Description
1961,12100000.0,E,Estimated value
1962,12700000.0,E,Estimated value
1963,13200000.0,E,Estimated value
1964,13600000.0,E,Estimated value
1965,14100000.0,E,Estimated value
1966,14600000.0,E,Estimated value
1967,14700000.0,E,Estimated value
1968,15000000.0,E,Estimated value
1969,15500000.0,E,Estimated value
1970,16000000.0,E,Estimated value
1971,16500000.0,E,Estimated value
1972,17100000.0,E,Estimated value
1973,17600000.0,E,Estimated value
1974,18000000.0,E,Estimated value
1975,18400000.0,E,Estimated value
1976,18900000.0,E,Estimated value
1977,19200000.0,E,Estimated value
1978,19800000.0,E,Estimated value
1979,19400000.0,E,Estimated value
1980,19700000.0,E,Estimated value
1981,20000000.0,E,Estimated value
1982,21100000.0,E,Estimated value
1983,21600000.0,E,Estimated value
1984,22000000.0,E,Estimated value
1985,22400000.0,E,Estimated value
1986,23700000.0,E,Estimated value
1987,24000000.0,E,Estimated value
1988,23100000.0,E,Estimated value
1989,22300000.0,E,Estimated value
1990,22600000.0,E,Estimated value
1991,23100000.0,E,Estimated value
1992,20600000.0,E,Estimated value
1993,22100000.0,E,Estimated value
1994,21600000.0,A,Official figure
1995,20190000.0,A,Official figure
1996,20000000.0,E,Estimated value
1997,22970966.41,I,Imputed value
1998,22600000.0,A,Official figure
1999,27030000.0,A,Official figure
2000,28630000.0,A,Official figure
2001,35340000.0,A,Official figure
2002,27180000.0,A,Official figure
2003,34740000.0,A,Official figure
2004,19172700.0,A,Official figure
2005,22123700.0,A,Official figure
2006,27480800.0,A,Official figure
2007,29146000.0,A,Official figure
2008,31402000.0,A,Official figure
2009,28006300.0,A,Official figure
2010,31724000.0,A,Official figure
2011,27557000.0,A,Official figure
2012,30459000.0,A,Official figure
2013,33213000.0,A,Official figure
2014,36838000.0,A,Official figure
2015,35868526.04,I,Imputed value
2016,36440322.4,I,Imputed value
2017,37376252.03,I,Imputed value
2018,41102000.0,A,Official figure
2019,42211000.0,A,Official figure
2020,40371519.65,I,Imputed value
2021,40719962.19,I,Imputed value
