Year,Value,Flag,Flag Description
1961,2257000.0,A,Official figure
1962,2425000.0,A,Official figure
1963,2601000.0,A,Official figure
1964,2684000.0,A,Official figure
1965,3271000.0,A,Official figure
1966,3412000.0,A,Official figure
1967,3203000.0,A,Official figure
1968,3125000.0,A,Official figure
1969,3172500.0,A,Official figure
1970,2896800.0,A,Official figure
1971,3374100.0,A,Official figure
1972,3190000.0,A,Official figure
1973,3167100.0,A,Official figure
1974,3274100.0,A,Official figure
1975,3409000.0,A,Official figure
1976,3758200.0,A,Official figure
1977,4245900.0,A,Official figure
1978,4560900.0,A,Official figure
1979,4273500.0,A,Official figure
1980,4354000.0,A,Official figure
1981,4580000.0,A,Official figure
1982,4221300.0,A,Official figure
1983,4647700.0,A,Official figure
1984,5247700.0,A,Official figure
1985,5389800.0,A,Official figure
1986,5714000.0,A,Official figure
1987,5917900.0,A,Official figure
1988,5989900.0,A,Official figure
1989,6409200.0,A,Official figure
1990,7153000.0,A,Official figure
1991,7853100.0,A,Official figure
1992,8523000.0,A,Official figure
1993,9945000.0,A,Official figure
1994,10686000.0,A,Official figure
1995,10182000.0,A,Official figure
1996,10299000.0,A,Official figure
1997,13340000.0,A,Official figure
1998,15100000.0,A,Official figure
1999,16810000.0,A,Official figure
2000,14137300.0,A,Official figure
2001,14209900.0,A,Official figure
2002,13304400.0,A,Official figure
2003,13856600.0,A,Official figure
2004,16744500.0,A,Official figure
2005,18887800.0,A,Official figure
2006,20997800.0,A,Official figure
2007,23823000.0,A,Official figure
2008,26217000.0,A,Official figure
2009,26469500.0,A,Official figure
2010,29780000.0,A,Official figure
2011,28455100.0,A,Official figure
2012,26509000.0,A,Official figure
2013,27575000.0,A,Official figure
2014,29724550.0,A,Official figure
2015,29221000.0,A,Official figure
2016,29135000.0,A,Official figure
2017,30477000.0,A,Official figure
2018,30808000.0,A,Official figure
2019,30460000.0,A,Official figure
2020,32597000.0,A,Official figure
2021,33062000.0,A,Official figure
