Year,Value,Flag,Flag Description
1961,2000.0,E,Estimated value
1962,2000.0,E,Estimated value
1963,2000.0,E,Estimated value
1964,2000.0,E,Estimated value
1965,2000.0,E,Estimated value
1966,2000.0,E,Estimated value
1967,2000.0,E,Estimated value
1968,2000.0,E,Estimated value
1969,2000.0,E,Estimated value
1970,2000.0,E,Estimated value
1971,2000.0,E,Estimated value
1972,2000.0,E,Estimated value
1973,2000.0,E,Estimated value
1974,2000.0,E,Estimated value
1975,2000.0,E,Estimated value
1976,2000.0,E,Estimated value
1977,2000.0,T,Unofficial figure
1978,2000.0,T,Unofficial figure
1979,2000.0,T,Unofficial figure
1980,2000.0,T,Unofficial figure
1981,2000.0,T,Unofficial figure
1982,2000.0,T,Unofficial figure
1983,2000.0,T,Unofficial figure
1984,2000.0,T,Unofficial figure
1985,3000.0,T,Unofficial figure
1986,2000.0,E,Estimated value
1987,4000.0,T,Unofficial figure
1988,5000.0,T,Unofficial figure
1989,4500.0,E,Estimated value
1990,4800.0,E,Estimated value
1991,5000.0,E,Estimated value
1992,5500.0,E,Estimated value
1993,6000.0,E,Estimated value
1994,6838.06,I,Imputed value
1995,7700.0,T,Unofficial figure
1996,8300.0,T,Unofficial figure
1997,8500.0,T,Unofficial figure
1998,8800.0,T,Unofficial figure
1999,9900.0,T,Unofficial figure
2000,10500.0,E,Estimated value
2001,10998.28,I,Imputed value
2002,11486.72,I,Imputed value
2003,11964.75,I,Imputed value
2004,12434.12,I,Imputed value
2005,12632.59,I,Imputed value
2006,12239.24,I,Imputed value
2007,12829.44,I,Imputed value
2008,12859.59,I,Imputed value
2009,13061.16,I,Imputed value
2010,13282.88,I,Imputed value
2011,13502.7,I,Imputed value
2012,13737.36,I,Imputed value
2013,13850.09,I,Imputed value
2014,14144.94,I,Imputed value
2015,14295.15,I,Imputed value
2016,14354.24,I,Imputed value
2017,14462.78,I,Imputed value
2018,14882.73,I,Imputed value
2019,14566.58,E,Estimated value
2020,14637.37,E,Estimated value
2021,14695.56,E,Estimated value
