Year,Value,Flag,Flag Description
1961,6988000.0,A,Official figure
1962,6988000.0,A,Official figure
1963,7000000.0,E,Estimated value
1964,7000000.0,E,Estimated value
1965,7000000.0,E,Estimated value
1966,7000000.0,E,Estimated value
1967,7100000.0,E,Estimated value
1968,7100000.0,E,Estimated value
1969,7100000.0,E,Estimated value
1970,7100000.0,E,Estimated value
1971,7100000.0,E,Estimated value
1972,7200000.0,E,Estimated value
1973,7200000.0,E,Estimated value
1974,7300000.0,E,Estimated value
1975,7300000.0,E,Estimated value
1976,7400000.0,E,Estimated value
1977,7456340.0,A,Official figure
1978,7527200.0,A,Official figure
1979,8216510.0,A,Official figure
1980,8363300.0,A,Official figure
1981,8515710.0,A,Official figure
1982,8662810.0,A,Official figure
1983,8833800.0,A,Official figure
1984,9154460.0,A,Official figure
1985,9337520.0,A,Official figure
1986,9871000.0,A,Official figure
1987,10113330.0,A,Official figure
1988,7927000.0,A,Official figure
1989,8504000.0,A,Official figure
1990,8645405.0,A,Official figure
1991,8752134.0,A,Official figure
1992,9223256.0,A,Official figure
1993,10110000.0,A,Official figure
1994,10990000.0,A,Official figure
1995,11000000.0,E,Estimated value
1996,10937183.17,I,Imputed value
1997,11000000.0,A,Official figure
1998,10230000.0,A,Official figure
1999,9781700.0,A,Official figure
2000,10503500.0,A,Official figure
2001,10056800.0,A,Official figure
2002,10020200.0,A,Official figure
2003,12733200.0,A,Official figure
2004,11490000.0,A,Official figure
2005,11829700.0,A,Official figure
2006,12663100.0,A,Official figure
2007,13734000.0,A,Official figure
2008,13997000.0,A,Official figure
2009,12750000.0,A,Official figure
2010,15026700.0,A,Official figure
2011,15188000.0,A,Official figure
2012,16196000.0,A,Official figure
2013,18002000.0,A,Official figure
2014,18431330.0,A,Official figure
2015,18527000.0,A,Official figure
2016,18643000.0,A,Official figure
2017,23332000.0,A,Official figure
2018,24966000.0,A,Official figure
2019,25631000.0,A,Official figure
2020,24678000.0,A,Official figure
2021,24968000.0,A,Official figure
