Year,Value,Flag,Flag Description
1961,228000.0,A,Official figure
1962,232000.0,A,Official figure
1963,236000.0,A,Official figure
1964,151000.0,A,Official figure
1965,179000.0,A,Official figure
1966,206000.0,A,Official figure
1967,209000.0,A,Official figure
1968,205000.0,A,Official figure
1969,222000.0,A,Official figure
1970,204680.0,A,Official figure
1971,246806.0,A,Official figure
1972,188867.0,A,Official figure
1973,218318.0,A,Official figure
1974,226211.0,A,Official figure
1975,224900.0,A,Official figure
1976,232571.0,A,Official figure
1977,450441.0,A,Official figure
1978,408510.0,A,Official figure
1979,419002.0,A,Official figure
1980,413467.0,A,Official figure
1981,248129.0,A,Official figure
1982,358457.0,A,Official figure
1983,325544.0,A,Official figure
1984,254000.0,A,Official figure
1985,240000.0,A,Official figure
1986,278767.0,A,Official figure
1987,276346.0,A,Official figure
1988,386486.0,A,Official figure
1989,354304.0,A,Official figure
1990,451497.0,A,Official figure
1991,805300.0,A,Official figure
1992,803617.0,A,Official figure
1993,1266720.0,A,Official figure
1994,1373460.0,A,Official figure
1995,1329670.0,A,Official figure
1996,1299330.0,A,Official figure
1997,1618490.0,A,Official figure
1998,1582270.0,A,Official figure
1999,1666470.0,A,Official figure
2000,1796960.0,A,Official figure
2001,2590400.0,A,Official figure
2002,2147200.0,A,Official figure
2003,1692100.0,A,Official figure
2004,2535100.0,A,Official figure
2005,2139300.0,A,Official figure
2006,2482100.0,A,Official figure
2007,2909000.0,A,Official figure
2008,3629000.0,A,Official figure
2009,3913500.0,A,Official figure
2010,4196000.0,A,Official figure
2011,4457100.0,A,Official figure
2012,5382000.0,A,Official figure
2013,5544000.0,A,Official figure
2014,5639300.0,A,Official figure
2015,4913000.0,A,Official figure
2016,5667000.0,A,Official figure
2017,5940000.0,A,Official figure
2018,5989000.0,A,Official figure
2019,6050000.0,A,Official figure
2020,5780000.0,A,Official figure
2021,5540000.0,A,Official figure
