Year,Value,Flag,Flag Description
1961,76000.0,A,Official figure
1962,100000.0,E,Estimated value
1963,150000.0,E,Estimated value
1964,200000.0,E,Estimated value
1965,280000.0,E,Estimated value
1966,340000.0,E,Estimated value
1967,360000.0,E,Estimated value
1968,360000.0,E,Estimated value
1969,370000.0,E,Estimated value
1970,380000.0,E,Estimated value
1971,380000.0,E,Estimated value
1972,390000.0,E,Estimated value
1973,400000.0,E,Estimated value
1974,410000.0,E,Estimated value
1975,420000.0,E,Estimated value
1976,430000.0,E,Estimated value
1977,442900.0,A,Official figure
1978,470610.0,A,Official figure
1979,500300.0,A,Official figure
1980,548980.0,A,Official figure
1981,593230.0,A,Official figure
1982,643100.0,A,Official figure
1983,671820.0,A,Official figure
1984,755970.0,A,Official figure
1985,771060.0,A,Official figure
1986,607000.0,A,Official figure
1987,578035.0,A,Official figure
1988,815387.0,A,Official figure
1989,787000.0,A,Official figure
1990,881000.0,A,Official figure
1991,768000.0,A,Official figure
1992,859000.0,A,Official figure
1993,1000000.0,A,Official figure
1994,1010000.0,A,Official figure
1995,1060000.0,A,Official figure
1996,1200000.0,T,Unofficial figure
1997,1250000.0,T,Unofficial figure
1998,940000.0,A,Official figure
1999,1006000.0,A,Official figure
2000,1020000.0,A,Official figure
2001,1220000.0,A,Official figure
2002,1180000.0,A,Official figure
2003,1310000.0,A,Official figure
2004,1234200.0,A,Official figure
2005,1278900.0,A,Official figure
2006,1262600.0,A,Official figure
2007,1362000.0,A,Official figure
2008,1245000.0,A,Official figure
2009,1341000.0,A,Official figure
2010,1386800.0,A,Official figure
2011,1415000.0,A,Official figure
2012,1500000.0,A,Official figure
2013,1571000.0,A,Official figure
2014,1736740.0,A,Official figure
2015,1984000.0,A,Official figure
2016,1924000.0,A,Official figure
2017,1861000.0,A,Official figure
2018,1706000.0,A,Official figure
2019,1711000.0,A,Official figure
2020,1732000.0,A,Official figure
2021,1799000.0,A,Official figure
