Year,Value,Flag,Flag Description
1961,1475000.0,E,Estimated value
1962,1520000.0,E,Estimated value
1963,1520000.0,E,Estimated value
1964,1580000.0,E,Estimated value
1965,1590000.0,E,Estimated value
1966,1625000.0,E,Estimated value
1967,1675000.0,E,Estimated value
1968,1720000.0,E,Estimated value
1969,1760000.0,E,Estimated value
1970,1730000.0,E,Estimated value
1971,1820000.0,E,Estimated value
1972,1750000.0,E,Estimated value
1973,1880000.0,E,Estimated value
1974,1910000.0,E,Estimated value
1975,1935000.0,E,Estimated value
1976,2000000.0,E,Estimated value
1977,2025000.0,T,Unofficial figure
1978,2160000.0,T,Unofficial figure
1979,2230000.0,T,Unofficial figure
1980,2310000.0,T,Unofficial figure
1981,2390000.0,T,Unofficial figure
1982,2495000.0,T,Unofficial figure
1983,2570000.0,T,Unofficial figure
1984,3295000.0,T,Unofficial figure
1985,3275000.0,T,Unofficial figure
1986,3670000.0,T,Unofficial figure
1987,3230000.0,T,Unofficial figure
1988,2745000.0,T,Unofficial figure
1989,2805000.0,E,Estimated value
1990,2987418.0,I,Imputed value
1991,2480000.0,T,Unofficial figure
1992,2825000.0,T,Unofficial figure
1993,2950000.0,E,Estimated value
1994,3347000.0,T,Unofficial figure
1995,3016320.0,T,Unofficial figure
1996,3900000.0,T,Unofficial figure
1997,3000000.0,E,Estimated value
1998,2500000.0,A,Official figure
1999,2910000.0,A,Official figure
2000,2780000.0,A,Official figure
2001,2770000.0,A,Official figure
2002,2720000.0,A,Official figure
2003,2930000.0,A,Official figure
2004,3230500.0,A,Official figure
2005,3114400.0,A,Official figure
2006,3242700.0,A,Official figure
2007,3451400.0,A,Official figure
2008,3657000.0,A,Official figure
2009,4001000.0,A,Official figure
2010,4401600.0,A,Official figure
2011,4383000.0,A,Official figure
2012,4474000.0,A,Official figure
2013,5273000.0,A,Official figure
2014,5997490.0,A,Official figure
2015,5861000.0,A,Official figure
2016,5901000.0,A,Official figure
2017,5630000.0,A,Official figure
2018,5916000.0,A,Official figure
2019,6078444.43,I,Imputed value
2020,6184656.32,I,Imputed value
2021,6329537.27,I,Imputed value
