Year,Value,Flag,Flag Description
1961,20000.0,A,Official figure
1962,20000.0,E,Estimated value
1963,20000.0,E,Estimated value
1964,20000.0,E,Estimated value
1965,20000.0,E,Estimated value
1966,20000.0,E,Estimated value
1967,20000.0,E,Estimated value
1968,30000.0,T,Unofficial figure
1969,25000.0,E,Estimated value
1970,30000.0,E,Estimated value
1971,35000.0,E,Estimated value
1972,30000.0,E,Estimated value
1973,25000.0,E,Estimated value
1974,25000.0,E,Estimated value
1975,30000.0,E,Estimated value
1976,20000.0,T,Unofficial figure
1977,20000.0,T,Unofficial figure
1978,20000.0,T,Unofficial figure
1979,20000.0,T,Unofficial figure
1980,20000.0,T,Unofficial figure
1981,20000.0,T,Unofficial figure
1982,20000.0,T,Unofficial figure
1983,26000.0,T,Unofficial figure
1984,25000.0,T,Unofficial figure
1985,20000.0,E,Estimated value
1986,50000.0,T,Unofficial figure
1987,70000.0,T,Unofficial figure
1988,73000.0,T,Unofficial figure
1989,75000.0,T,Unofficial figure
1990,80000.0,T,Unofficial figure
1991,70000.0,E,Estimated value
1992,75000.0,T,Unofficial figure
1993,85000.0,E,Estimated value
1994,90000.0,E,Estimated value
1995,96500.0,T,Unofficial figure
1996,105000.0,T,Unofficial figure
1997,106000.0,T,Unofficial figure
1998,110000.0,T,Unofficial figure
1999,124000.0,T,Unofficial figure
2000,130000.0,T,Unofficial figure
2001,130000.0,T,Unofficial figure
2002,140000.0,T,Unofficial figure
2003,142000.0,T,Unofficial figure
2004,145000.0,T,Unofficial figure
2005,148000.0,T,Unofficial figure
2006,158000.0,T,Unofficial figure
2007,178000.0,T,Unofficial figure
2008,200000.0,T,Unofficial figure
2009,216000.0,T,Unofficial figure
2010,260600.0,T,Unofficial figure
2011,196000.0,T,Unofficial figure
2012,322500.0,T,Unofficial figure
2013,285300.0,T,Unofficial figure
2014,248500.0,A,Official figure
2015,260500.0,A,Official figure
2016,390500.0,T,Unofficial figure
2017,0.0,M,"Missing value (data cannot exist, not applicable)"
2018,0.0,M,"Missing value (data cannot exist, not applicable)"
2019,0.0,M,"Missing value (data cannot exist, not applicable)"
2020,0.0,M,"Missing value (data cannot exist, not applicable)"
2021,0.0,M,"Missing value (data cannot exist, not applicable)"
