Year,Value,Flag,Flag Description
1961,415000.0,A,Official figure
1962,450000.0,E,Estimated value
1963,450000.0,E,Estimated value
1964,450000.0,E,Estimated value
1965,450000.0,E,Estimated value
1966,450000.0,E,Estimated value
1967,450000.0,E,Estimated value
1968,370000.0,A,Official figure
1969,400000.0,E,Estimated value
1970,450000.0,E,Estimated value
1971,450000.0,E,Estimated value
1972,450000.0,E,Estimated value
1973,450000.0,E,Estimated value
1974,450000.0,E,Estimated value
1975,500000.0,E,Estimated value
1976,600000.0,T,Unofficial figure
1977,400000.0,T,Unofficial figure
1978,500000.0,T,Unofficial figure
1979,480000.0,T,Unofficial figure
1980,485000.0,T,Unofficial figure
1981,500000.0,T,Unofficial figure
1982,500000.0,T,Unofficial figure
1983,500000.0,T,Unofficial figure
1984,550000.0,T,Unofficial figure
1985,450000.0,E,Estimated value
1986,600000.0,T,Unofficial figure
1987,600000.0,T,Unofficial figure
1988,600000.0,T,Unofficial figure
1989,690000.0,T,Unofficial figure
1990,752000.0,T,Unofficial figure
1991,800000.0,E,Estimated value
1992,700000.0,T,Unofficial figure
1993,930000.0,E,Estimated value
1994,923700.0,A,Official figure
1995,970100.0,A,Official figure
1996,920000.0,A,Official figure
1997,1048400.0,A,Official figure
1998,1101300.0,A,Official figure
1999,1259800.0,A,Official figure
2000,1491500.0,A,Official figure
2001,1377200.0,A,Official figure
2002,1413700.0,A,Official figure
2003,1439600.0,A,Official figure
2004,1493300.0,A,Official figure
2005,1033100.0,A,Official figure
2006,2159000.0,A,Official figure
2007,2310200.0,A,Official figure
2008,2501700.0,A,Official figure
2009,2571530.0,A,Official figure
2010,2629200.0,A,Official figure
2011,2108000.0,A,Official figure
2012,2272100.0,A,Official figure
2013,2523500.0,A,Official figure
2014,2835020.0,A,Official figure
2015,2950000.0,A,Official figure
2016,2438000.0,A,Official figure
2017,2364000.0,A,Official figure
2018,3148000.0,A,Official figure
2019,3482000.0,A,Official figure
2020,3687000.0,A,Official figure
2021,3548000.0,A,Official figure
