Year,Value,Flag,Flag Description
1961,752000.0,A,Official figure
1962,670000.0,T,Unofficial figure
1963,670000.0,T,Unofficial figure
1964,691000.0,T,Unofficial figure
1965,780000.0,E,Estimated value
1966,900000.0,E,Estimated value
1967,1000000.0,E,Estimated value
1968,1213000.0,A,Official figure
1969,1100000.0,E,Estimated value
1970,1200000.0,E,Estimated value
1971,1250000.0,E,Estimated value
1972,1300000.0,E,Estimated value
1973,1200000.0,E,Estimated value
1974,1300000.0,E,Estimated value
1975,1150000.0,E,Estimated value
1976,1400000.0,T,Unofficial figure
1977,1138000.0,T,Unofficial figure
1978,1070000.0,T,Unofficial figure
1979,1130000.0,T,Unofficial figure
1980,1171000.0,T,Unofficial figure
1981,1209000.0,T,Unofficial figure
1982,1258000.0,T,Unofficial figure
1983,1358000.0,T,Unofficial figure
1984,1347000.0,T,Unofficial figure
1985,1350000.0,E,Estimated value
1986,1346000.0,T,Unofficial figure
1987,1500000.0,T,Unofficial figure
1988,1400000.0,T,Unofficial figure
1989,1920000.0,T,Unofficial figure
1990,2010000.0,T,Unofficial figure
1991,1890000.0,E,Estimated value
1992,1330000.0,T,Unofficial figure
1993,1895000.0,E,Estimated value
1994,1883200.0,A,Official figure
1995,1595200.0,A,Official figure
1996,2041300.0,A,Official figure
1997,2564000.0,A,Official figure
1998,2354200.0,A,Official figure
1999,2446800.0,A,Official figure
2000,2674700.0,A,Official figure
2001,2574700.0,A,Official figure
2002,2870500.0,A,Official figure
2003,1921900.0,A,Official figure
2004,3263200.0,A,Official figure
2005,3314000.0,A,Official figure
2006,3437400.0,A,Official figure
2007,4266900.0,A,Official figure
2008,4860300.0,A,Official figure
2009,5201350.0,A,Official figure
2010,5966400.0,A,Official figure
2011,4571000.0,A,Official figure
2012,4360400.0,A,Official figure
2013,6426200.0,A,Official figure
2014,7317610.0,A,Official figure
2015,7710000.0,A,Official figure
2016,7581000.0,A,Official figure
2017,7647000.0,A,Official figure
2018,8367000.0,A,Official figure
2019,9509000.0,A,Official figure
2020,10176000.0,A,Official figure
2021,10270000.0,A,Official figure
