Year,Value,Flag,Flag Description
1961,25000.0,A,Official figure
1962,25000.0,E,Estimated value
1963,25000.0,E,Estimated value
1964,26000.0,E,Estimated value
1965,26000.0,E,Estimated value
1966,26000.0,E,Estimated value
1967,27000.0,E,Estimated value
1968,53000.0,T,Unofficial figure
1969,45000.0,E,Estimated value
1970,50000.0,E,Estimated value
1971,50000.0,E,Estimated value
1972,45000.0,E,Estimated value
1973,30000.0,E,Estimated value
1974,35000.0,E,Estimated value
1975,30000.0,E,Estimated value
1976,28000.0,T,Unofficial figure
1977,25000.0,T,Unofficial figure
1978,22000.0,T,Unofficial figure
1979,28000.0,T,Unofficial figure
1980,30000.0,T,Unofficial figure
1981,30000.0,T,Unofficial figure
1982,30000.0,T,Unofficial figure
1983,30000.0,T,Unofficial figure
1984,30000.0,T,Unofficial figure
1985,50000.0,E,Estimated value
1986,80000.0,T,Unofficial figure
1987,85000.0,T,Unofficial figure
1988,100000.0,T,Unofficial figure
1989,75000.0,T,Unofficial figure
1990,85000.0,T,Unofficial figure
1991,83031.3,I,Imputed value
1992,80000.0,T,Unofficial figure
1993,90000.0,E,Estimated value
1994,95000.0,E,Estimated value
1995,104000.0,T,Unofficial figure
1996,112000.0,T,Unofficial figure
1997,115000.0,T,Unofficial figure
1998,120000.0,T,Unofficial figure
1999,134000.0,T,Unofficial figure
2000,120000.0,T,Unofficial figure
2001,90000.0,T,Unofficial figure
2002,100000.0,T,Unofficial figure
2003,120000.0,T,Unofficial figure
2004,120000.0,T,Unofficial figure
2005,125000.0,T,Unofficial figure
2006,384600.0,T,Unofficial figure
2007,389900.0,T,Unofficial figure
2008,453000.0,T,Unofficial figure
2009,634200.0,T,Unofficial figure
2010,781800.0,T,Unofficial figure
2011,589000.0,T,Unofficial figure
2012,967000.0,T,Unofficial figure
2013,855000.0,T,Unofficial figure
2014,745500.0,A,Official figure
2015,781500.0,A,Official figure
2016,1171500.0,T,Unofficial figure
2017,1408000.0,A,Official figure
2018,1030000.0,A,Official figure
2019,1022000.0,A,Official figure
2020,408000.0,A,Official figure
2021,489000.0,A,Official figure
