Year,Value,Flag,Flag Description
1961,70000.0,E,Estimated value
1962,75000.0,E,Estimated value
1963,80000.0,E,Estimated value
1964,90000.0,E,Estimated value
1965,100000.0,E,Estimated value
1966,110000.0,E,Estimated value
1967,115000.0,E,Estimated value
1968,120000.0,E,Estimated value
1969,125000.0,E,Estimated value
1970,130000.0,E,Estimated value
1971,135000.0,E,Estimated value
1972,138000.0,E,Estimated value
1973,140000.0,E,Estimated value
1974,90000.0,E,Estimated value
1975,95000.0,E,Estimated value
1976,95400.0,E,Estimated value
1977,150630.0,A,Official figure
1978,166000.0,A,Official figure
1979,182160.0,A,Official figure
1980,195850.0,A,Official figure
1981,208000.0,A,Official figure
1982,250000.0,A,Official figure
1983,237020.0,A,Official figure
1984,270390.0,A,Official figure
1985,275660.0,A,Official figure
1986,260000.0,E,Estimated value
1987,251035.0,A,Official figure
1988,416253.0,A,Official figure
1989,374535.0,A,Official figure
1990,408170.0,A,Official figure
1991,412530.0,A,Official figure
1992,653163.0,A,Official figure
1993,700000.0,A,Official figure
1994,700000.0,A,Official figure
1995,700000.0,A,Official figure
1996,800000.0,T,Unofficial figure
1997,810000.0,T,Unofficial figure
1998,970000.0,A,Official figure
1999,1083000.0,A,Official figure
2000,1130000.0,A,Official figure
2001,1060000.0,A,Official figure
2002,1184200.0,A,Official figure
2003,1247800.0,A,Official figure
2004,1474800.0,A,Official figure
2005,1564700.0,A,Official figure
2006,1649600.0,A,Official figure
2007,1685300.0,A,Official figure
2008,1735000.0,A,Official figure
2009,1878000.0,A,Official figure
2010,880700.0,A,Official figure
2011,1235000.0,A,Official figure
2012,2221000.0,A,Official figure
2013,2483000.0,A,Official figure
2014,2585340.0,A,Official figure
2015,2602000.0,A,Official figure
2016,2590000.0,A,Official figure
2017,2922000.0,A,Official figure
2018,2920000.0,A,Official figure
2019,3041000.0,A,Official figure
2020,3181000.0,A,Official figure
2021,3358000.0,A,Official figure
