Year,Value,Flag,Flag Description
1961,185000.0,A,Official figure
1962,160000.0,E,Estimated value
1963,140000.0,E,Estimated value
1964,110000.0,E,Estimated value
1965,90000.0,E,Estimated value
1966,97500.0,A,Official figure
1967,127000.0,A,Official figure
1968,163000.0,A,Official figure
1969,201000.0,A,Official figure
1970,277000.0,A,Official figure
1971,352000.0,A,Official figure
1972,433000.0,A,Official figure
1973,515000.0,A,Official figure
1974,592000.0,A,Official figure
1975,510000.0,E,Estimated value
1976,500000.0,E,Estimated value
1977,503500.0,A,Official figure
1978,545070.0,A,Official figure
1979,662020.0,A,Official figure
1980,658000.0,A,Official figure
1981,821790.0,A,Official figure
1982,926980.0,A,Official figure
1983,966600.0,A,Official figure
1984,985900.0,A,Official figure
1985,1005560.0,A,Official figure
1986,1258000.0,A,Official figure
1987,861404.0,A,Official figure
1988,995296.0,A,Official figure
1989,1084117.0,A,Official figure
1990,1093900.0,A,Official figure
1991,1175005.0,A,Official figure
1992,1147743.0,A,Official figure
1993,1168252.0,A,Official figure
1994,1300000.0,A,Official figure
1995,1200000.0,A,Official figure
1996,1211379.0,A,Official figure
1997,1308390.0,A,Official figure
1998,1320590.0,A,Official figure
1999,1380000.0,A,Official figure
2000,1050000.0,A,Official figure
2001,1230000.0,A,Official figure
2002,1160000.0,A,Official figure
2003,1470000.0,A,Official figure
2004,1521600.0,A,Official figure
2005,1739000.0,A,Official figure
2006,1814000.0,A,Official figure
2007,1624000.0,A,Official figure
2008,2001000.0,A,Official figure
2009,1985000.0,A,Official figure
2010,1777200.0,A,Official figure
2011,2891000.0,A,Official figure
2012,2203400.0,A,Official figure
2013,1915000.0,A,Official figure
2014,2497680.0,A,Official figure
2015,2134000.0,A,Official figure
2016,2521000.0,A,Official figure
2017,2265000.0,A,Official figure
2018,2327000.0,A,Official figure
2019,2316000.0,A,Official figure
2020,2814000.0,A,Official figure
2021,2276000.0,A,Official figure
