Year,Value,Flag,Flag Description
1961,33000.0,A,Official figure
1962,37000.0,E,Estimated value
1963,40000.0,E,Estimated value
1964,46000.0,E,Estimated value
1965,45000.0,E,Estimated value
1966,47000.0,E,Estimated value
1967,48000.0,E,Estimated value
1968,49000.0,E,Estimated value
1969,50000.0,E,Estimated value
1970,52000.0,E,Estimated value
1971,54000.0,E,Estimated value
1972,52000.0,E,Estimated value
1973,54000.0,E,Estimated value
1974,54000.0,E,Estimated value
1975,56000.0,E,Estimated value
1976,58000.0,E,Estimated value
1977,60000.0,T,Unofficial figure
1978,62000.0,T,Unofficial figure
1979,62000.0,T,Unofficial figure
1980,64000.0,T,Unofficial figure
1981,65000.0,T,Unofficial figure
1982,65000.0,T,Unofficial figure
1983,70000.0,T,Unofficial figure
1984,80000.0,T,Unofficial figure
1985,85000.0,T,Unofficial figure
1986,82000.0,E,Estimated value
1987,72676.0,A,Official figure
1988,82151.0,A,Official figure
1989,118658.0,A,Official figure
1990,157987.0,A,Official figure
1991,115000.0,E,Estimated value
1992,120000.0,E,Estimated value
1993,130000.0,E,Estimated value
1994,135537.73,I,Imputed value
1995,140000.0,T,Unofficial figure
1996,150000.0,T,Unofficial figure
1997,153000.0,T,Unofficial figure
1998,158000.0,T,Unofficial figure
1999,178000.0,T,Unofficial figure
2000,188000.0,T,Unofficial figure
2001,200000.0,E,Estimated value
2002,216202.82,I,Imputed value
2003,230869.34,I,Imputed value
2004,245887.05,I,Imputed value
2005,263718.26,I,Imputed value
2006,278673.48,I,Imputed value
2007,301547.76,I,Imputed value
2008,311805.83,I,Imputed value
2009,320464.24,I,Imputed value
2010,336000.0,E,Estimated value
2011,335000.0,E,Estimated value
2012,340000.0,E,Estimated value
2013,325000.0,E,Estimated value
2014,316700.0,A,Official figure
2015,303000.0,A,Official figure
2016,323000.0,A,Official figure
2017,346000.0,A,Official figure
2018,318000.0,A,Official figure
2019,300000.0,A,Official figure
2020,290000.0,A,Official figure
2021,276000.0,A,Official figure
