Year,Value,Flag,Flag Description
1961,8000.0,A,Official figure
1962,8300.0,E,Estimated value
1963,8500.0,E,Estimated value
1964,8800.0,E,Estimated value
1965,9200.0,E,Estimated value
1966,9500.0,E,Estimated value
1967,9800.0,E,Estimated value
1968,10300.0,E,Estimated value
1969,10500.0,E,Estimated value
1970,10800.0,E,Estimated value
1971,11000.0,E,Estimated value
1972,10500.0,E,Estimated value
1973,11000.0,E,Estimated value
1974,11500.0,E,Estimated value
1975,9500.0,E,Estimated value
1976,10000.0,E,Estimated value
1977,8000.0,E,Estimated value
1978,8000.0,E,Estimated value
1979,7000.0,E,Estimated value
1980,6500.0,E,Estimated value
1981,6000.0,E,Estimated value
1982,5000.0,E,Estimated value
1983,5500.0,E,Estimated value
1984,5000.0,E,Estimated value
1985,4800.0,E,Estimated value
1986,4500.0,E,Estimated value
1987,4800.0,E,Estimated value
1988,4350.0,E,Estimated value
1989,5000.0,E,Estimated value
1990,6000.0,E,Estimated value
1991,6200.0,E,Estimated value
1992,6500.0,E,Estimated value
1993,6800.0,E,Estimated value
1994,7000.0,E,Estimated value
1995,7300.0,T,Unofficial figure
1996,7900.0,T,Unofficial figure
1997,8100.0,T,Unofficial figure
1998,8400.0,T,Unofficial figure
1999,9400.0,T,Unofficial figure
2000,9900.0,T,Unofficial figure
2001,10000.0,E,Estimated value
2002,10216.5,I,Imputed value
2003,10530.11,I,Imputed value
2004,10908.12,I,Imputed value
2005,11331.71,I,Imputed value
2006,11847.26,I,Imputed value
2007,12316.64,I,Imputed value
2008,12888.7,I,Imputed value
2009,13291.56,I,Imputed value
2010,13644.71,I,Imputed value
2011,13929.03,I,Imputed value
2012,14149.27,I,Imputed value
2013,14155.16,I,Imputed value
2014,14115.7,I,Imputed value
2015,14186.43,I,Imputed value
2016,14318.0,I,Imputed value
2017,14458.08,I,Imputed value
2018,14320.84,E,Estimated value
2019,14365.64,E,Estimated value
2020,14381.52,E,Estimated value
2021,14356.0,E,Estimated value
