Year,Value,Flag,Flag Description
1961,3000.0,A,Official figure
1962,3100.0,E,Estimated value
1963,3200.0,E,Estimated value
1964,3300.0,E,Estimated value
1965,3400.0,E,Estimated value
1966,3500.0,E,Estimated value
1967,3600.0,E,Estimated value
1968,3700.0,E,Estimated value
1969,3800.0,E,Estimated value
1970,3900.0,E,Estimated value
1971,4000.0,E,Estimated value
1972,4000.0,E,Estimated value
1973,4000.0,E,Estimated value
1974,4000.0,E,Estimated value
1975,4000.0,E,Estimated value
1976,4000.0,E,Estimated value
1977,4000.0,T,Unofficial figure
1978,3000.0,E,Estimated value
1979,3000.0,E,Estimated value
1980,2000.0,E,Estimated value
1981,2000.0,E,Estimated value
1982,2000.0,E,Estimated value
1983,3000.0,E,Estimated value
1984,3000.0,E,Estimated value
1985,3000.0,E,Estimated value
1986,1100.0,E,Estimated value
1987,1013.0,A,Official figure
1988,2000.0,A,Official figure
1989,3500.0,A,Official figure
1990,3200.0,E,Estimated value
1991,3700.0,E,Estimated value
1992,3800.0,E,Estimated value
1993,4000.0,E,Estimated value
1994,4200.0,E,Estimated value
1995,4400.0,T,Unofficial figure
1996,4800.0,T,Unofficial figure
1997,4900.0,T,Unofficial figure
1998,5100.0,T,Unofficial figure
1999,7400.0,T,Unofficial figure
2000,7800.0,T,Unofficial figure
2001,8000.0,E,Estimated value
2002,8054.35,I,Imputed value
2003,8301.07,I,Imputed value
2004,8540.13,I,Imputed value
2005,8770.79,I,Imputed value
2006,8916.86,I,Imputed value
2007,9114.25,I,Imputed value
2008,9261.07,I,Imputed value
2009,9374.42,I,Imputed value
2010,9553.86,I,Imputed value
2011,9733.01,I,Imputed value
2012,9897.75,I,Imputed value
2013,9959.88,I,Imputed value
2014,10585.56,I,Imputed value
2015,10945.25,I,Imputed value
2016,10496.9,E,Estimated value
2017,10289.08,I,Imputed value
2018,11182.03,I,Imputed value
2019,10656.0,E,Estimated value
2020,10709.04,E,Estimated value
2021,10849.03,E,Estimated value
