Year,Value,Flag,Flag Description
1961,43000.0,E,Estimated value
1962,39000.0,E,Estimated value
1963,49000.0,E,Estimated value
1964,45000.0,E,Estimated value
1965,48000.0,E,Estimated value
1966,45000.0,E,Estimated value
1967,49000.0,E,Estimated value
1968,50000.0,E,Estimated value
1969,49000.0,E,Estimated value
1970,48500.0,E,Estimated value
1971,44000.0,E,Estimated value
1972,45000.0,E,Estimated value
1973,53000.0,E,Estimated value
1974,47000.0,E,Estimated value
1975,48000.0,E,Estimated value
1976,63000.0,E,Estimated value
1977,66000.0,E,Estimated value
1978,54000.0,E,Estimated value
1979,73000.0,E,Estimated value
1980,78000.0,E,Estimated value
1981,76000.0,E,Estimated value
1982,78000.0,E,Estimated value
1983,70000.0,E,Estimated value
1984,60000.0,E,Estimated value
1985,65000.0,E,Estimated value
1986,80000.0,E,Estimated value
1987,90300.0,A,Official figure
1988,63912.0,A,Official figure
1989,67305.0,A,Official figure
1990,70000.0,E,Estimated value
1991,75000.0,E,Estimated value
1992,80000.0,E,Estimated value
1993,83000.0,E,Estimated value
1994,85000.0,E,Estimated value
1995,89000.0,T,Unofficial figure
1996,95000.0,T,Unofficial figure
1997,100000.0,T,Unofficial figure
1998,101000.0,T,Unofficial figure
1999,114000.0,T,Unofficial figure
2000,120000.0,T,Unofficial figure
2001,150000.0,E,Estimated value
2002,165965.79,I,Imputed value
2003,183638.99,I,Imputed value
2004,199356.02,I,Imputed value
2005,203254.18,I,Imputed value
2006,212948.43,I,Imputed value
2007,226454.36,I,Imputed value
2008,231755.19,I,Imputed value
2009,236240.4,I,Imputed value
2010,244000.0,E,Estimated value
2011,243000.0,E,Estimated value
2012,250000.0,E,Estimated value
2013,250000.0,E,Estimated value
2014,260000.0,E,Estimated value
2015,264318.42,I,Imputed value
2016,269174.14,I,Imputed value
2017,0.0,M,"Missing value (data cannot exist, not applicable)"
2018,0.0,M,"Missing value (data cannot exist, not applicable)"
2019,0.0,M,"Missing value (data cannot exist, not applicable)"
2020,0.0,M,"Missing value (data cannot exist, not applicable)"
2021,0.0,M,"Missing value (data cannot exist, not applicable)"
