Year,Value,Flag,Flag Description
1961,11000.0,A,Official figure
1962,13000.0,E,Estimated value
1963,11000.0,E,Estimated value
1964,15000.0,E,Estimated value
1965,14000.0,E,Estimated value
1966,15000.0,E,Estimated value
1967,16000.0,E,Estimated value
1968,17000.0,E,Estimated value
1969,18000.0,E,Estimated value
1970,19000.0,E,Estimated value
1971,20000.0,E,Estimated value
1972,18000.0,E,Estimated value
1973,19000.0,E,Estimated value
1974,20000.0,E,Estimated value
1975,22000.0,E,Estimated value
1976,24000.0,E,Estimated value
1977,25000.0,T,Unofficial figure
1978,26000.0,T,Unofficial figure
1979,27000.0,T,Unofficial figure
1980,28000.0,T,Unofficial figure
1981,28000.0,T,Unofficial figure
1982,28000.0,T,Unofficial figure
1983,30000.0,T,Unofficial figure
1984,35000.0,T,Unofficial figure
1985,40000.0,T,Unofficial figure
1986,33000.0,E,Estimated value
1987,33995.0,A,Official figure
1988,34104.0,A,Official figure
1989,35426.0,A,Official figure
1990,50000.0,E,Estimated value
1991,52000.0,E,Estimated value
1992,54000.0,E,Estimated value
1993,55000.0,E,Estimated value
1994,56000.0,E,Estimated value
1995,58000.0,T,Unofficial figure
1996,62000.0,T,Unofficial figure
1997,65000.0,T,Unofficial figure
1998,66000.0,T,Unofficial figure
1999,74000.0,T,Unofficial figure
2000,78000.0,T,Unofficial figure
2001,80000.0,E,Estimated value
2002,90000.0,E,Estimated value
2003,100000.0,E,Estimated value
2004,140000.0,E,Estimated value
2005,146220.23,I,Imputed value
2006,160000.0,E,Estimated value
2007,169599.57,I,Imputed value
2008,180842.78,I,Imputed value
2009,191404.49,I,Imputed value
2010,200000.0,E,Estimated value
2011,210000.0,E,Estimated value
2012,215000.0,E,Estimated value
2013,220000.0,E,Estimated value
2014,225000.0,E,Estimated value
2015,228832.59,I,Imputed value
2016,232480.65,I,Imputed value
2017,0.0,M,"Missing value (data cannot exist, not applicable)"
2018,0.0,M,"Missing value (data cannot exist, not applicable)"
2019,0.0,M,"Missing value (data cannot exist, not applicable)"
2020,0.0,M,"Missing value (data cannot exist, not applicable)"
2021,0.0,M,"Missing value (data cannot exist, not applicable)"
