Year,Value,Flag,Flag Description
1961,1000.0,E,Estimated value
1962,1000.0,E,Estimated value
1963,1000.0,E,Estimated value
1964,1000.0,E,Estimated value
1965,1000.0,E,Estimated value
1966,1000.0,E,Estimated value
1967,1000.0,E,Estimated value
1968,1000.0,E,Estimated value
1969,1000.0,E,Estimated value
1970,1000.0,E,Estimated value
1971,1000.0,E,Estimated value
1972,1000.0,E,Estimated value
1973,1000.0,E,Estimated value
1974,1000.0,E,Estimated value
1975,1000.0,E,Estimated value
1976,1000.0,E,Estimated value
1977,1000.0,E,Estimated value
1978,1000.0,E,Estimated value
1979,1000.0,E,Estimated value
1980,1000.0,E,Estimated value
1981,1000.0,E,Estimated value
1982,1000.0,E,Estimated value
1983,1000.0,E,Estimated value
1984,1000.0,E,Estimated value
1985,1000.0,E,Estimated value
1986,1000.0,E,Estimated value
1987,1000.0,E,Estimated value
1988,1000.0,E,Estimated value
1989,1000.0,E,Estimated value
1990,1065.0,I,Imputed value
1991,820.68,I,Imputed value
1992,878.94,I,Imputed value
1993,937.21,I,Imputed value
1994,1002.05,I,Imputed value
1995,1050.96,I,Imputed value
1996,1100.0,T,Unofficial figure
1997,1200.0,T,Unofficial figure
1998,1200.0,T,Unofficial figure
1999,1300.0,T,Unofficial figure
2000,1370.0,T,Unofficial figure
2001,1400.0,E,Estimated value
2002,1469.82,I,Imputed value
2003,1539.0,I,Imputed value
2004,1582.95,I,Imputed value
2005,1640.69,I,Imputed value
2006,1698.43,I,Imputed value
2007,1756.17,I,Imputed value
2008,1813.91,I,Imputed value
2009,1871.65,I,Imputed value
2010,1929.39,I,Imputed value
2011,1987.13,I,Imputed value
2012,2044.87,I,Imputed value
2013,2102.61,I,Imputed value
2014,2129.44,I,Imputed value
2015,2200.15,I,Imputed value
2016,2144.06,E,Estimated value
2017,2232.59,I,Imputed value
2018,2192.27,E,Estimated value
2019,2189.64,E,Estimated value
2020,2204.83,E,Estimated value
2021,2195.58,E,Estimated value
