Year,Value,Flag,Flag Description
1961,780000.0,E,Estimated value
1962,860000.0,E,Estimated value
1963,860000.0,E,Estimated value
1964,965000.0,E,Estimated value
1965,930000.0,E,Estimated value
1966,1090000.0,E,Estimated value
1967,1150000.0,E,Estimated value
1968,1200000.0,E,Estimated value
1969,1265000.0,E,Estimated value
1970,1200000.0,E,Estimated value
1971,1320000.0,E,Estimated value
1972,1200000.0,E,Estimated value
1973,1380000.0,E,Estimated value
1974,1410000.0,E,Estimated value
1975,1440000.0,E,Estimated value
1976,1390000.0,E,Estimated value
1977,1490000.0,T,Unofficial figure
1978,1520000.0,T,Unofficial figure
1979,1560000.0,T,Unofficial figure
1980,1625000.0,T,Unofficial figure
1981,1705000.0,T,Unofficial figure
1982,1780000.0,T,Unofficial figure
1983,1830000.0,T,Unofficial figure
1984,2775000.0,T,Unofficial figure
1985,2610000.0,T,Unofficial figure
1986,3370000.0,T,Unofficial figure
1987,3120000.0,T,Unofficial figure
1988,2410000.0,T,Unofficial figure
1989,2700000.0,E,Estimated value
1990,2875590.0,I,Imputed value
1991,3105000.0,T,Unofficial figure
1992,4350000.0,T,Unofficial figure
1993,4240000.0,E,Estimated value
1994,4320000.0,E,Estimated value
1995,4600000.0,T,Unofficial figure
1996,5000000.0,T,Unofficial figure
1997,5100000.0,T,Unofficial figure
1998,8030000.0,A,Official figure
1999,6660000.0,A,Official figure
2000,5750000.0,A,Official figure
2001,6580000.0,A,Official figure
2002,6530000.0,A,Official figure
2003,6650000.0,A,Official figure
2004,4693000.0,A,Official figure
2005,5729400.0,A,Official figure
2006,6737100.0,A,Official figure
2007,6244400.0,A,Official figure
2008,7321000.0,A,Official figure
2009,7234000.0,A,Official figure
2010,7201000.0,A,Official figure
2011,7583000.0,A,Official figure
2012,8224000.0,A,Official figure
2013,9315000.0,A,Official figure
2014,9872000.0,A,Official figure
2015,10000000.0,E,Estimated value
2016,10010826.43,I,Imputed value
2017,10515000.0,A,Official figure
2018,10605000.0,A,Official figure
2019,10755000.0,A,Official figure
2020,10871235.36,I,Imputed value
2021,11161374.11,I,Imputed value
