Year,Value,Flag,Flag Description
1961,85000.0,E,Estimated value
1962,88000.0,E,Estimated value
1963,92000.0,E,Estimated value
1964,95000.0,E,Estimated value
1965,100000.0,E,Estimated value
1966,103818.0,A,Official figure
1967,114182.0,A,Official figure
1968,118542.0,A,Official figure
1969,120438.0,A,Official figure
1970,123319.0,A,Official figure
1971,127223.0,A,Official figure
1972,130000.0,A,Official figure
1973,129766.0,A,Official figure
1974,135451.0,A,Official figure
1975,144254.0,A,Official figure
1976,161536.0,A,Official figure
1977,162457.0,A,Official figure
1978,165323.0,A,Official figure
1979,171817.0,A,Official figure
1980,180266.0,A,Official figure
1981,185250.0,A,Official figure
1982,195760.0,A,Official figure
1983,201440.0,A,Official figure
1984,210870.0,A,Official figure
1985,221330.0,A,Official figure
1986,234480.0,A,Official figure
1987,245580.0,A,Official figure
1988,260260.0,A,Official figure
1989,274330.0,A,Official figure
1990,285590.0,A,Official figure
1991,294590.0,A,Official figure
1992,305310.0,A,Official figure
1993,350000.0,A,Official figure
1994,350000.0,A,Official figure
1995,321640.0,A,Official figure
1996,417830.0,A,Official figure
1997,430000.0,A,Official figure
1998,360000.0,A,Official figure
1999,460000.0,A,Official figure
2000,520000.0,A,Official figure
2001,450000.0,A,Official figure
2002,470000.0,A,Official figure
2003,500000.0,A,Official figure
2004,535000.0,A,Official figure
2005,544000.0,A,Official figure
2006,573000.0,A,Official figure
2007,620000.0,A,Official figure
2008,665000.0,A,Official figure
2009,695000.0,A,Official figure
2010,613000.0,A,Official figure
2011,674600.0,A,Official figure
2012,725000.0,A,Official figure
2013,753000.0,A,Official figure
2014,753000.0,A,Official figure
2015,745000.0,A,Official figure
2016,671000.0,A,Official figure
2017,745000.0,A,Official figure
2018,817000.0,A,Official figure
2019,743000.0,A,Official figure
2020,703000.0,A,Official figure
2021,738000.0,A,Official figure
