Year,Value,Flag,Flag Description
1961,12000.0,E,Estimated value
1962,12000.0,E,Estimated value
1963,13000.0,E,Estimated value
1964,14000.0,A,Official figure
1965,14000.0,A,Official figure
1966,16000.0,A,Official figure
1967,11000.0,A,Official figure
1968,14000.0,A,Official figure
1969,10000.0,A,Official figure
1970,14000.0,T,Unofficial figure
1971,11000.0,T,Unofficial figure
1972,14000.0,T,Unofficial figure
1973,13500.0,T,Unofficial figure
1974,9500.0,T,Unofficial figure
1975,15000.0,A,Official figure
1976,16000.0,A,Official figure
1977,12000.0,A,Official figure
1978,21000.0,A,Official figure
1979,17000.0,A,Official figure
1980,18000.0,A,Official figure
1981,17000.0,A,Official figure
1982,20000.0,A,Official figure
1983,20000.0,A,Official figure
1984,15000.0,A,Official figure
1985,15000.0,A,Official figure
1986,18000.0,A,Official figure
1987,23000.0,A,Official figure
1988,20000.0,A,Official figure
1989,17000.0,A,Official figure
1990,20000.0,A,Official figure
1991,18000.0,T,Unofficial figure
1992,23500.0,T,Unofficial figure
1993,22000.0,T,Unofficial figure
1994,28000.0,T,Unofficial figure
1995,25000.0,T,Unofficial figure
1996,29000.0,T,Unofficial figure
1997,24000.0,T,Unofficial figure
1998,30000.0,T,Unofficial figure
1999,28000.0,T,Unofficial figure
2000,31000.0,T,Unofficial figure
2001,29000.0,T,Unofficial figure
2002,30000.0,T,Unofficial figure
2003,31000.0,T,Unofficial figure
2004,34000.0,T,Unofficial figure
2005,32000.0,T,Unofficial figure
2006,36000.0,T,Unofficial figure
2007,33000.0,T,Unofficial figure
2008,37000.0,T,Unofficial figure
2009,36000.0,T,Unofficial figure
2010,38000.0,T,Unofficial figure
2011,36000.0,T,Unofficial figure
2012,40000.0,T,Unofficial figure
2013,36000.0,T,Unofficial figure
2014,43000.0,T,Unofficial figure
2015,35000.0,T,Unofficial figure
2016,33000.0,T,Unofficial figure
2017,0.0,M,"Missing value (data cannot exist, not applicable)"
2018,0.0,M,"Missing value (data cannot exist, not applicable)"
2019,0.0,M,"Missing value (data cannot exist, not applicable)"
2020,0.0,M,"Missing value (data cannot exist, not applicable)"
2021,0.0,M,"Missing value (data cannot exist, not applicable)"
