Year,Value,Flag,Flag Description
1961,120000.0,E,Estimated value
1962,120000.0,E,Estimated value
1963,120000.0,E,Estimated value
1964,120000.0,E,Estimated value
1965,113000.0,A,Official figure
1966,119000.0,A,Official figure
1967,130000.0,A,Official figure
1968,135000.0,A,Official figure
1969,140000.0,A,Official figure
1970,137700.0,A,Official figure
1971,141000.0,A,Official figure
1972,150500.0,A,Official figure
1973,147700.0,A,Official figure
1974,167400.0,A,Official figure
1975,164700.0,A,Official figure
1976,160000.0,A,Official figure
1977,164300.0,A,Official figure
1978,175200.0,A,Official figure
1979,181900.0,A,Official figure
1980,181400.0,A,Official figure
1981,195900.0,A,Official figure
1982,194700.0,A,Official figure
1983,202200.0,A,Official figure
1984,189500.0,A,Official figure
1985,218700.0,A,Official figure
1986,216200.0,A,Official figure
1987,219000.0,A,Official figure
1988,226700.0,A,Official figure
1989,249000.0,A,Official figure
1990,251300.0,A,Official figure
1991,238500.0,A,Official figure
1992,243200.0,A,Official figure
1993,256300.0,A,Official figure
1994,271100.0,A,Official figure
1995,289700.0,A,Official figure
1996,295500.0,A,Official figure
1997,307700.0,A,Official figure
1998,333900.0,A,Official figure
1999,310000.0,A,Official figure
2000,330000.0,A,Official figure
2001,330000.0,A,Official figure
2002,400000.0,A,Official figure
2003,415900.0,A,Official figure
2004,439200.0,A,Official figure
2005,452700.0,A,Official figure
2006,483100.0,A,Official figure
2007,483300.0,A,Official figure
2008,476000.0,A,Official figure
2009,481300.0,A,Official figure
2010,478000.0,A,Official figure
2011,478000.0,A,Official figure
2012,681000.0,A,Official figure
2013,609000.0,A,Official figure
2014,622000.0,A,Official figure
2015,747000.0,A,Official figure
2016,714000.0,A,Official figure
2017,723000.0,A,Official figure
2018,833000.0,A,Official figure
2019,901000.0,A,Official figure
2020,1382000.0,A,Official figure
2021,1563000.0,A,Official figure
