Year,Value,Flag,Flag Description
1961,5000.0,E,Estimated value
1962,5000.0,E,Estimated value
1963,8000.0,E,Estimated value
1964,8000.0,E,Estimated value
1965,10000.0,E,Estimated value
1966,10000.0,E,Estimated value
1967,12000.0,E,Estimated value
1968,12000.0,E,Estimated value
1969,14000.0,E,Estimated value
1970,14000.0,A,Official figure
1971,14000.0,A,Official figure
1972,28000.0,A,Official figure
1973,39000.0,A,Official figure
1974,51000.0,A,Official figure
1975,91000.0,A,Official figure
1976,123000.0,A,Official figure
1977,183000.0,A,Official figure
1978,299000.0,A,Official figure
1979,282000.0,A,Official figure
1980,442000.0,A,Official figure
1981,352000.0,A,Official figure
1982,491000.0,A,Official figure
1983,614300.0,A,Official figure
1984,954800.0,A,Official figure
1985,1024100.0,A,Official figure
1986,891400.0,A,Official figure
1987,898300.0,A,Official figure
1988,1547100.0,A,Official figure
1989,1805600.0,A,Official figure
1990,2601500.0,A,Official figure
1991,2492000.0,A,Official figure
1992,3390000.0,A,Official figure
1993,4745200.0,A,Official figure
1994,3931900.0,A,Official figure
1995,5096000.0,A,Official figure
1996,5400000.0,A,Official figure
1997,6463100.0,A,Official figure
1998,7143000.0,A,Official figure
1999,7081400.0,A,Official figure
2000,5275800.0,A,Official figure
2001,5962700.0,A,Official figure
2002,4654700.0,A,Official figure
2003,7818900.0,A,Official figure
2004,6876300.0,A,Official figure
2005,8273500.0,A,Official figure
2006,8857000.0,A,Official figure
2007,10968000.0,A,Official figure
2008,9905400.0,A,Official figure
2009,9964500.0,A,Official figure
2010,12736000.0,A,Official figure
2011,12214000.0,A,Official figure
2012,14666000.0,A,Official figure
2013,11861000.0,A,Official figure
2014,10374000.0,A,Official figure
2015,8570000.0,A,Official figure
2016,13159000.0,A,Official figure
2017,13158730.0,A,Official figure
2018,10932970.0,A,Official figure
2019,13267520.0,A,Official figure
2020,11225850.0,A,Official figure
2021,12610000.0,A,Official figure
