Year,Value,Flag,Flag Description
1961,4994000.0,A,Official figure
1962,5064000.0,A,Official figure
1963,5298000.0,A,Official figure
1964,6004000.0,A,Official figure
1965,4263000.0,A,Official figure
1966,4411000.0,A,Official figure
1967,5730900.0,A,Official figure
1968,4630700.0,A,Official figure
1969,5130100.0,A,Official figure
1970,6111100.0,A,Official figure
1971,6180500.0,A,Official figure
1972,4091600.0,A,Official figure
1973,5932000.0,A,Official figure
1974,5111000.0,A,Official figure
1975,6754700.0,A,Official figure
1976,5263900.0,A,Official figure
1977,6087100.0,A,Official figure
1978,6208200.0,A,Official figure
1979,5768000.0,A,Official figure
1980,5005000.0,A,Official figure
1981,7223000.0,A,Official figure
1982,5282300.0,A,Official figure
1983,7085000.0,A,Official figure
1984,6436000.0,A,Official figure
1985,5121300.0,A,Official figure
1986,5875400.0,A,Official figure
1987,5853600.0,A,Official figure
1988,9658000.0,A,Official figure
1989,8100000.0,A,Official figure
1990,7514700.0,A,Official figure
1991,7094600.0,A,Official figure
1992,8565000.0,A,Official figure
1993,7830000.0,A,Official figure
1994,8062000.0,A,Official figure
1995,7579000.0,A,Official figure
1996,8643000.0,A,Official figure
1997,7370000.0,A,Official figure
1998,8981600.0,A,Official figure
1999,5258100.0,A,Official figure
2000,6480300.0,A,Official figure
2001,7027500.0,A,Official figure
2002,4121100.0,A,Official figure
2003,8126500.0,A,Official figure
2004,6774400.0,A,Official figure
2005,7993300.0,A,Official figure
2006,4863500.0,A,Official figure
2007,9182500.0,A,Official figure
2008,7168100.0,A,Official figure
2009,5428500.0,A,Official figure
2010,8265000.0,A,Official figure
2011,6964000.0,A,Official figure
2012,4695000.0,A,Official figure
2013,9472000.0,A,Official figure
2014,7402000.0,A,Official figure
2015,6733000.0,A,Official figure
2016,7462000.0,A,Official figure
2017,7461530.0,A,Official figure
2018,9252570.0,A,Official figure
2019,6727180.0,A,Official figure
2020,9952020.0,A,Official figure
2021,10244000.0,A,Official figure
