Year,Value,Flag,Flag Description
1961,398000.0,A,Official figure
1962,463000.0,A,Official figure
1963,430000.0,A,Official figure
1964,378700.0,A,Official figure
1965,494000.0,A,Official figure
1966,331000.0,A,Official figure
1967,259900.0,A,Official figure
1968,438000.0,A,Official figure
1969,329200.0,A,Official figure
1970,469300.0,A,Official figure
1971,473800.0,A,Official figure
1972,529500.0,A,Official figure
1973,428100.0,A,Official figure
1974,503900.0,A,Official figure
1975,563800.0,A,Official figure
1976,597800.0,A,Official figure
1977,418800.0,A,Official figure
1978,526800.0,A,Official figure
1979,535100.0,A,Official figure
1980,269300.0,A,Official figure
1981,423000.0,A,Official figure
1982,482500.0,A,Official figure
1983,375400.0,A,Official figure
1984,444000.0,A,Official figure
1985,389000.0,A,Official figure
1986,376200.0,A,Official figure
1987,316600.0,A,Official figure
1988,393300.0,A,Official figure
1989,360800.0,A,Official figure
1990,325600.0,A,Official figure
1991,332000.0,A,Official figure
1992,292000.0,A,Official figure
1993,278000.0,A,Official figure
1994,330000.0,A,Official figure
1995,322600.0,A,Official figure
1996,291900.0,A,Official figure
1997,308600.0,A,Official figure
1998,237400.0,A,Official figure
1999,264900.0,A,Official figure
2000,240800.0,A,Official figure
2001,203500.0,A,Official figure
2002,209100.0,A,Official figure
2003,176700.0,A,Official figure
2004,196500.0,A,Official figure
2005,169700.0,A,Official figure
2006,172500.0,A,Official figure
2007,167900.0,A,Official figure
2008,163000.0,A,Official figure
2009,169200.0,A,Official figure
2010,153700.0,A,Official figure
2011,147000.0,A,Official figure
2012,152000.0,A,Official figure
2013,147000.0,A,Official figure
2014,141730.0,A,Official figure
2015,155000.0,A,Official figure
2016,125000.0,A,Official figure
2017,184250.0,A,Official figure
2018,173760.0,A,Official figure
2019,99070.0,A,Official figure
2020,120660.0,A,Official figure
2021,111000.0,A,Official figure
