Year,Value,Flag,Flag Description
1961,1347000.0,A,Official figure
1962,1346000.0,A,Official figure
1963,1303000.0,A,Official figure
1964,915000.0,A,Official figure
1965,1474000.0,A,Official figure
1966,1298000.0,A,Official figure
1967,1227900.0,A,Official figure
1968,1567700.0,A,Official figure
1969,1346700.0,A,Official figure
1970,1563600.0,A,Official figure
1971,1975300.0,A,Official figure
1972,1432800.0,A,Official figure
1973,1807800.0,A,Official figure
1974,1704300.0,A,Official figure
1975,2251600.0,A,Official figure
1976,1935800.0,A,Official figure
1977,1550700.0,A,Official figure
1978,1649700.0,A,Official figure
1979,1860100.0,A,Official figure
1980,1428000.0,A,Official figure
1981,2304300.0,A,Official figure
1982,2381500.0,A,Official figure
1983,2207200.0,A,Official figure
1984,2608000.0,A,Official figure
1985,3073000.0,A,Official figure
1986,2680500.0,A,Official figure
1987,2604700.0,A,Official figure
1988,3454500.0,A,Official figure
1989,4376800.0,A,Official figure
1990,4125300.0,A,Official figure
1991,5229300.0,A,Official figure
1992,5862500.0,A,Official figure
1993,4800000.0,A,Official figure
1994,5327900.0,A,Official figure
1995,5758000.0,A,Official figure
1996,5999500.0,A,Official figure
1997,6657900.0,A,Official figure
1998,4702900.0,A,Official figure
1999,5663900.0,A,Official figure
2000,5788400.0,A,Official figure
2001,4187200.0,A,Official figure
2002,5082600.0,A,Official figure
2003,3879800.0,A,Official figure
2004,6291400.0,A,Official figure
2005,7593100.0,A,Official figure
2006,8131200.0,A,Official figure
2007,7438000.0,A,Official figure
2008,5834000.0,A,Official figure
2009,7200700.0,A,Official figure
2010,6608100.0,A,Official figure
2011,8179000.0,A,Official figure
2012,6600000.0,A,Official figure
2013,7820000.0,A,Official figure
2014,7877000.0,A,Official figure
2015,6282000.0,A,Official figure
2016,6797000.0,A,Official figure
2017,7917230.0,A,Official figure
2018,8429850.0,A,Official figure
2019,9255660.0,A,Official figure
2020,9123640.0,A,Official figure
2021,10210000.0,A,Official figure
