Year,Value,Flag,Flag Description
1961,372000.0,A,Official figure
1962,492000.0,A,Official figure
1963,439000.0,A,Official figure
1964,484000.0,A,Official figure
1965,424000.0,A,Official figure
1966,416000.0,A,Official figure
1967,445000.0,A,Official figure
1968,422500.0,A,Official figure
1969,448100.0,A,Official figure
1970,562300.0,A,Official figure
1971,449500.0,A,Official figure
1972,385400.0,A,Official figure
1973,484600.0,A,Official figure
1974,392200.0,A,Official figure
1975,479200.0,A,Official figure
1976,421800.0,A,Official figure
1977,520200.0,A,Official figure
1978,514100.0,A,Official figure
1979,347700.0,A,Official figure
1980,445800.0,A,Official figure
1981,590200.0,A,Official figure
1982,551700.0,A,Official figure
1983,558800.0,A,Official figure
1984,520700.0,A,Official figure
1985,501000.0,A,Official figure
1986,447700.0,A,Official figure
1987,583100.0,A,Official figure
1988,681800.0,A,Official figure
1989,745100.0,A,Official figure
1990,835300.0,A,Official figure
1991,705900.0,A,Official figure
1992,760000.0,A,Official figure
1993,564000.0,A,Official figure
1994,590000.0,A,Official figure
1995,531000.0,A,Official figure
1996,640500.0,A,Official figure
1997,568100.0,A,Official figure
1998,527300.0,A,Official figure
1999,479900.0,A,Official figure
2000,517800.0,A,Official figure
2001,697800.0,A,Official figure
2002,441300.0,A,Official figure
2003,782100.0,A,Official figure
2004,674100.0,A,Official figure
2005,641100.0,A,Official figure
2006,618000.0,A,Official figure
2007,756900.0,A,Official figure
2008,640300.0,A,Official figure
2009,588400.0,A,Official figure
2010,893000.0,A,Official figure
2011,810000.0,A,Official figure
2012,685000.0,A,Official figure
2013,715000.0,A,Official figure
2014,828000.0,A,Official figure
2015,850000.0,A,Official figure
2016,747000.0,A,Official figure
2017,747030.0,A,Official figure
2018,755430.0,A,Official figure
2019,689310.0,A,Official figure
2020,657500.0,A,Official figure
2021,817000.0,A,Official figure
