Year,Value,Flag,Flag Description
1970,76000.0,A,Official figure
1971,76000.0,A,Official figure
1972,76000.0,A,Official figure
1973,169000.0,A,Official figure
1974,228000.0,A,Official figure
1975,217000.0,A,Official figure
1976,138000.0,A,Official figure
1977,141000.0,A,Official figure
1978,99000.0,A,Official figure
1979,31800.0,A,Official figure
1980,66300.0,A,Official figure
1981,159000.0,A,Official figure
1982,229700.0,A,Official figure
1983,299600.0,A,Official figure
1984,439800.0,A,Official figure
1985,280900.0,A,Official figure
1986,419900.0,A,Official figure
1987,635300.0,A,Official figure
1988,370100.0,A,Official figure
1989,631300.0,A,Official figure
1990,873000.0,A,Official figure
1991,1194000.0,A,Official figure
1992,1182000.0,A,Official figure
1993,1350000.0,A,Official figure
1994,1220000.0,A,Official figure
1995,1260000.0,A,Official figure
1996,1250000.0,A,Official figure
1997,890000.0,A,Official figure
1998,943800.0,A,Official figure
1999,693600.0,A,Official figure
2000,646400.0,A,Official figure
2001,679500.0,A,Official figure
2002,872600.0,A,Official figure
2003,930400.0,A,Official figure
2004,1186700.0,A,Official figure
2005,1439000.0,A,Official figure
2006,1228000.0,A,Official figure
2007,1463000.0,A,Official figure
2008,1158000.0,A,Official figure
2009,850700.0,A,Official figure
2010,651000.0,A,Official figure
2011,517000.0,A,Official figure
2012,544000.0,A,Official figure
2013,504000.0,A,Official figure
2014,434000.0,A,Official figure
2015,296000.0,A,Official figure
2016,251000.0,A,Official figure
2017,251380.0,A,Official figure
2018,221660.0,A,Official figure
2019,216290.0,A,Official figure
2020,212530.0,A,Official figure
2021,228000.0,A,Official figure
