Year,Value,Flag,Flag Description
1961,66000.0,E,Estimated value
1962,67000.0,E,Estimated value
1963,68000.0,E,Estimated value
1964,62000.0,E,Estimated value
1965,71500.0,E,Estimated value
1966,69000.0,A,Official figure
1967,72000.0,A,Official figure
1968,77700.0,A,Official figure
1969,93700.0,A,Official figure
1970,142400.0,A,Official figure
1971,153900.0,A,Official figure
1972,130500.0,A,Official figure
1973,81800.0,A,Official figure
1974,191000.0,A,Official figure
1975,211900.0,A,Official figure
1976,238300.0,A,Official figure
1977,219600.0,A,Official figure
1978,187800.0,A,Official figure
1979,209000.0,A,Official figure
1980,279400.0,A,Official figure
1981,335100.0,A,Official figure
1982,421500.0,A,Official figure
1983,395900.0,A,Official figure
1984,500900.0,A,Official figure
1985,515200.0,A,Official figure
1986,347900.0,A,Official figure
1987,352500.0,A,Official figure
1988,462200.0,A,Official figure
1989,444900.0,A,Official figure
1990,486500.0,A,Official figure
1991,320100.0,A,Official figure
1992,202800.0,A,Official figure
1993,348300.0,A,Official figure
1994,522000.0,A,Official figure
1995,423000.0,A,Official figure
1996,383300.0,A,Official figure
1997,432300.0,A,Official figure
1998,120000.0,A,Official figure
1999,242200.0,A,Official figure
2000,260400.0,A,Official figure
2001,202000.0,A,Official figure
2002,230000.0,A,Official figure
2003,178500.0,A,Official figure
2004,134900.0,A,Official figure
2005,173600.0,A,Official figure
2006,228600.0,A,Official figure
2007,240000.0,A,Official figure
2008,225000.0,A,Official figure
2009,189200.0,A,Official figure
2010,178800.0,A,Official figure
2011,150000.0,A,Official figure
2012,145000.0,A,Official figure
2013,109000.0,A,Official figure
2014,113000.0,A,Official figure
2015,90000.0,A,Official figure
2016,53000.0,A,Official figure
2017,93900.0,A,Official figure
2018,55280.0,A,Official figure
2019,24640.0,A,Official figure
2020,43670.0,A,Official figure
2021,36000.0,A,Official figure
