Year,Value,Flag,Flag Description
1961,109000.0,A,Official figure
1962,99000.0,A,Official figure
1963,102000.0,A,Official figure
1964,107000.0,A,Official figure
1965,79800.0,A,Official figure
1966,109800.0,A,Official figure
1967,121200.0,A,Official figure
1968,115700.0,A,Official figure
1969,123000.0,A,Official figure
1970,136100.0,A,Official figure
1971,154000.0,A,Official figure
1972,145400.0,A,Official figure
1973,229100.0,A,Official figure
1974,210400.0,A,Official figure
1975,142900.0,A,Official figure
1976,179000.0,A,Official figure
1977,217200.0,A,Official figure
1978,229400.0,A,Official figure
1979,227300.0,A,Official figure
1980,204400.0,A,Official figure
1981,310000.0,A,Official figure
1982,344600.0,A,Official figure
1983,404500.0,A,Official figure
1984,469700.0,A,Official figure
1985,308300.0,A,Official figure
1986,230300.0,A,Official figure
1987,195200.0,A,Official figure
1988,415500.0,A,Official figure
1989,517100.0,A,Official figure
1990,716200.0,A,Official figure
1991,577000.0,A,Official figure
1992,623000.0,A,Official figure
1993,634800.0,A,Official figure
1994,845000.0,A,Official figure
1995,780000.0,A,Official figure
1996,902000.0,A,Official figure
1997,829000.0,A,Official figure
1998,840300.0,A,Official figure
1999,765100.0,A,Official figure
2000,882800.0,A,Official figure
2001,652700.0,A,Official figure
2002,428000.0,A,Official figure
2003,796700.0,A,Official figure
2004,793400.0,A,Official figure
2005,990700.0,A,Official figure
2006,762000.0,A,Official figure
2007,1053000.0,A,Official figure
2008,1171100.0,A,Official figure
2009,1009000.0,A,Official figure
2010,1350000.0,A,Official figure
2011,2295000.0,A,Official figure
2012,1964000.0,A,Official figure
2013,1727000.0,A,Official figure
2014,1870000.0,A,Official figure
2015,1752000.0,A,Official figure
2016,1376000.0,A,Official figure
2017,1376420.0,A,Official figure
2018,1567560.0,A,Official figure
2019,1196680.0,A,Official figure
2020,1842020.0,A,Official figure
2021,1647000.0,A,Official figure
