Year,Value,Flag,Flag Description
1961,100000.0,E,Estimated value
1962,101000.0,E,Estimated value
1963,80000.0,E,Estimated value
1964,97000.0,A,Official figure
1965,91000.0,A,Official figure
1966,79000.0,A,Official figure
1967,98000.0,A,Official figure
1968,89000.0,A,Official figure
1969,98000.0,A,Official figure
1970,128000.0,A,Official figure
1971,115800.0,A,Official figure
1972,92500.0,A,Official figure
1973,136000.0,A,Official figure
1974,132000.0,A,Official figure
1975,150500.0,A,Official figure
1976,113300.0,A,Official figure
1977,148180.0,A,Official figure
1978,146500.0,A,Official figure
1979,105400.0,A,Official figure
1980,146100.0,A,Official figure
1981,160200.0,A,Official figure
1982,117600.0,A,Official figure
1983,176300.0,A,Official figure
1984,148000.0,A,Official figure
1985,192300.0,A,Official figure
1986,131200.0,A,Official figure
1987,179300.0,A,Official figure
1988,177700.0,A,Official figure
1989,186500.0,A,Official figure
1990,186300.0,A,Official figure
1991,179500.0,A,Official figure
1992,162000.0,A,Official figure
1993,196000.0,A,Official figure
1994,190000.0,A,Official figure
1995,190000.0,A,Official figure
1996,151800.0,A,Official figure
1997,162200.0,A,Official figure
1998,164000.0,A,Official figure
1999,140000.0,A,Official figure
2000,110000.0,A,Official figure
2001,130000.0,A,Official figure
2002,86000.0,A,Official figure
2003,109000.0,A,Official figure
2004,112000.0,A,Official figure
2005,108000.0,A,Official figure
2006,121000.0,A,Official figure
2007,110000.0,A,Official figure
2008,117000.0,A,Official figure
2009,100000.0,A,Official figure
2010,108000.0,A,Official figure
2011,98000.0,A,Official figure
2012,102000.0,A,Official figure
2013,98000.0,A,Official figure
2014,76000.0,A,Official figure
2015,74000.0,A,Official figure
2016,85000.0,A,Official figure
2017,70000.0,A,Official figure
2018,63000.0,A,Official figure
2019,42000.0,A,Official figure
2020,41000.0,A,Official figure
2021,42000.0,A,Official figure
