Year,Value,Flag,Flag Description
1961,3328000.0,A,Official figure
1962,3727631.0,A,Official figure
1963,3511000.0,A,Official figure
1964,3746949.0,A,Official figure
1965,3741005.0,A,Official figure
1966,3858000.0,A,Official figure
1967,3953503.0,A,Official figure
1968,4120678.0,A,Official figure
1969,4352494.0,A,Official figure
1970,4514000.0,A,Official figure
1971,4550000.0,A,Official figure
1972,4455920.0,A,Official figure
1973,4346996.0,A,Official figure
1974,4479993.0,A,Official figure
1975,4331244.0,A,Official figure
1976,4284000.0,A,Official figure
1977,4022000.0,A,Official figure
1978,4257000.0,A,Official figure
1979,4188000.0,A,Official figure
1980,4250000.0,A,Official figure
1981,4138500.0,A,Official figure
1982,4767000.0,A,Official figure
1983,4315200.0,A,Official figure
1984,5136200.0,A,Official figure
1985,5030000.0,A,Official figure
1986,4738000.0,A,Official figure
1987,5402000.0,A,Official figure
1988,6346000.0,A,Official figure
1989,6954000.0,A,Official figure
1990,7230000.0,A,Official figure
1991,7500000.0,A,Official figure
1992,8351000.0,A,Official figure
1993,8894000.0,A,Official figure
1994,9881900.0,A,Official figure
1995,9622667.0,A,Official figure
1996,9700000.0,A,Official figure
1997,8990000.0,A,Official figure
1998,8750000.0,A,Official figure
1999,8630000.0,A,Official figure
2000,8350000.0,A,Official figure
2001,8670000.0,A,Official figure
2002,8920000.0,A,Official figure
2003,8630000.0,A,Official figure
2004,8380000.0,A,Official figure
2005,8829000.0,A,Official figure
2006,10190000.0,A,Official figure
2007,10894000.0,A,Official figure
2008,10148300.0,A,Official figure
2009,10824300.0,A,Official figure
2010,10840000.0,A,Official figure
2011,10280000.0,A,Official figure
2012,10560000.0,A,Official figure
2013,11930000.0,A,Official figure
2014,11078873.0,A,Official figure
2015,11209641.0,A,Official figure
2016,11344306.0,A,Official figure
2017,11166772.0,A,Official figure
2018,16413000.0,A,Official figure
2019,14682000.0,A,Official figure
2020,14006000.0,A,Official figure
2021,14301000.0,A,Official figure
