Year,Value,Flag,Flag Description
1961,2719000.0,A,Official figure
1962,2447000.0,A,Official figure
1963,3365000.0,A,Official figure
1964,2593000.0,A,Official figure
1965,3605000.0,A,Official figure
1966,4076000.0,A,Official figure
1967,3521500.0,A,Official figure
1968,4232300.0,A,Official figure
1969,4725500.0,A,Official figure
1970,3912600.0,A,Official figure
1971,4807200.0,A,Official figure
1972,4825500.0,A,Official figure
1973,4451000.0,A,Official figure
1974,4861100.0,A,Official figure
1975,6225400.0,A,Official figure
1976,7306000.0,A,Official figure
1977,7170700.0,A,Official figure
1978,8135400.0,A,Official figure
1979,10133000.0,A,Official figure
1980,8326600.0,A,Official figure
1981,9670000.0,A,Official figure
1982,9911800.0,A,Official figure
1983,9956000.0,A,Official figure
1984,12151800.0,A,Official figure
1985,12570600.0,A,Official figure
1986,10422800.0,A,Official figure
1987,12740300.0,A,Official figure
1988,14046000.0,A,Official figure
1989,14857000.0,A,Official figure
1990,14770800.0,A,Official figure
1991,15205600.0,A,Official figure
1992,18195000.0,A,Official figure
1993,18479000.0,A,Official figure
1994,17392400.0,A,Official figure
1995,17401300.0,A,Official figure
1996,18843300.0,A,Official figure
1997,24215900.0,A,Official figure
1998,17652300.0,A,Official figure
1999,22494700.0,A,Official figure
2000,25000100.0,A,Official figure
2001,22242700.0,A,Official figure
2002,24456100.0,A,Official figure
2003,23161400.0,A,Official figure
2004,27925800.0,A,Official figure
2005,28787700.0,A,Official figure
2006,29174600.0,A,Official figure
2007,28599600.0,A,Official figure
2008,34658000.0,A,Official figure
2009,34390900.0,A,Official figure
2010,36577300.0,A,Official figure
2011,42339400.0,A,Official figure
2012,41483000.0,A,Official figure
2013,45343600.0,A,Official figure
2014,46395000.0,A,Official figure
2015,48009000.0,A,Official figure
2016,43417000.0,A,Official figure
2017,48605000.0,A,Official figure
2018,51310000.0,A,Official figure
2019,50190000.0,A,Official figure
2020,48562000.0,A,Official figure
2021,54230000.0,A,Official figure
