Year,Value,Flag,Flag Description
1961,1969000.0,A,Official figure
1962,1892000.0,A,Official figure
1963,1757000.0,A,Official figure
1964,2823000.0,A,Official figure
1965,3033000.0,A,Official figure
1966,3467000.0,A,Official figure
1967,3817000.0,A,Official figure
1968,4643700.0,A,Official figure
1969,4636100.0,A,Official figure
1970,5214100.0,A,Official figure
1971,5129600.0,A,Official figure
1972,6025900.0,A,Official figure
1973,6371400.0,A,Official figure
1974,6420900.0,A,Official figure
1975,6325900.0,A,Official figure
1976,6638300.0,A,Official figure
1977,6375000.0,A,Official figure
1978,5688300.0,A,Official figure
1979,6050100.0,A,Official figure
1980,5845300.0,A,Official figure
1981,5868100.0,A,Official figure
1982,5292000.0,A,Official figure
1983,5340900.0,A,Official figure
1984,5886200.0,A,Official figure
1985,5662100.0,A,Official figure
1986,4884300.0,A,Official figure
1987,4814400.0,A,Official figure
1988,5416500.0,A,Official figure
1989,4832600.0,A,Official figure
1990,4962000.0,A,Official figure
1991,5416200.0,A,Official figure
1992,5832500.0,A,Official figure
1993,5412800.0,A,Official figure
1994,6028900.0,A,Official figure
1995,5856800.0,A,Official figure
1996,5443200.0,A,Official figure
1997,5662800.0,A,Official figure
1998,6681900.0,A,Official figure
1999,5830000.0,A,Official figure
2000,6014100.0,A,Official figure
2001,6768400.0,A,Official figure
2002,6515900.0,A,Official figure
2003,5426200.0,A,Official figure
2004,5949600.0,A,Official figure
2005,7462800.0,A,Official figure
2006,7854900.0,A,Official figure
2007,8232300.0,A,Official figure
2008,9056000.0,A,Official figure
2009,9623000.0,A,Official figure
2010,8059800.0,A,Official figure
2011,8076000.0,A,Official figure
2012,8746500.0,A,Official figure
2013,7236600.0,A,Official figure
2014,8139430.0,A,Official figure
2015,4373000.0,A,Official figure
2016,4344000.0,A,Official figure
2017,4171000.0,A,Official figure
2018,4950000.0,A,Official figure
2019,4976000.0,A,Official figure
2020,6060000.0,A,Official figure
2021,6941000.0,A,Official figure
