Year,Value,Flag,Flag Description
1961,1261000.0,A,Official figure
1962,858000.0,A,Official figure
1963,850000.0,A,Official figure
1964,855000.0,A,Official figure
1965,1098000.0,A,Official figure
1966,991000.0,A,Official figure
1967,1297000.0,A,Official figure
1968,1664000.0,A,Official figure
1969,2042000.0,A,Official figure
1970,1621000.0,A,Official figure
1971,1731000.0,A,Official figure
1972,1538000.0,A,Official figure
1973,1431000.0,A,Official figure
1974,1550000.0,A,Official figure
1975,1658400.0,A,Official figure
1976,1810900.0,A,Official figure
1977,1555300.0,A,Official figure
1978,1588500.0,A,Official figure
1979,1623000.0,A,Official figure
1980,1313100.0,A,Official figure
1981,1501900.0,A,Official figure
1982,1696000.0,A,Official figure
1983,1586900.0,A,Official figure
1984,1585600.0,A,Official figure
1985,1627700.0,A,Official figure
1986,1408000.0,A,Official figure
1987,1490600.0,A,Official figure
1988,1257600.0,A,Official figure
1989,1271000.0,A,Official figure
1990,1251500.0,A,Official figure
1991,1273500.0,A,Official figure
1992,1130700.0,A,Official figure
1993,1215500.0,A,Official figure
1994,1220600.0,A,Official figure
1995,1166100.0,A,Official figure
1996,1138100.0,A,Official figure
1997,1102200.0,A,Official figure
1998,1048100.0,A,Official figure
1999,1152400.0,A,Official figure
2000,1110600.0,A,Official figure
2001,1007400.0,A,Official figure
2002,1130300.0,A,Official figure
2003,1130300.0,A,Official figure
2004,1179100.0,A,Official figure
2005,1179400.0,A,Official figure
2006,1066500.0,A,Official figure
2007,1067200.0,A,Official figure
2008,1094000.0,A,Official figure
2009,1119700.0,A,Official figure
2010,1094700.0,A,Official figure
2011,1046600.0,A,Official figure
2012,1072800.0,A,Official figure
2013,1132400.0,A,Official figure
2014,1087880.0,A,Official figure
2015,1228000.0,A,Official figure
2016,1454000.0,A,Official figure
2017,1460000.0,A,Official figure
2018,1500000.0,A,Official figure
2019,1156000.0,A,Official figure
2020,1141000.0,A,Official figure
2021,1121000.0,A,Official figure
