Year,Value,Flag,Flag Description
1961,43200.0,A,Official figure
1962,46000.0,A,Official figure
1963,56200.0,A,Official figure
1964,69300.0,A,Official figure
1965,60900.0,A,Official figure
1966,63900.0,A,Official figure
1967,78500.0,A,Official figure
1968,57331.0,A,Official figure
1969,73430.0,A,Official figure
1970,63619.0,A,Official figure
1971,110231.0,A,Official figure
1972,68948.0,A,Official figure
1973,91072.0,A,Official figure
1974,86388.0,A,Official figure
1975,92506.0,A,Official figure
1976,84000.0,A,Official figure
1977,102300.0,A,Official figure
1978,125000.0,A,Official figure
1979,110488.0,A,Official figure
1980,149835.0,A,Official figure
1981,118600.0,A,Official figure
1982,152100.0,A,Official figure
1983,130000.0,A,Official figure
1984,105029.0,A,Official figure
1985,195100.0,A,Official figure
1986,122400.0,A,Official figure
1987,192100.0,A,Official figure
1988,122700.0,A,Official figure
1989,214700.0,A,Official figure
1990,118100.0,A,Official figure
1991,170000.0,A,Official figure
1992,180000.0,A,Official figure
1993,162000.0,A,Official figure
1994,208000.0,A,Official figure
1995,180000.0,A,Official figure
1996,223000.0,A,Official figure
1997,205000.0,A,Official figure
1998,228000.0,A,Official figure
1999,265000.0,A,Official figure
2000,292000.0,A,Official figure
2001,301000.0,A,Official figure
2002,301000.0,A,Official figure
2003,275275.0,A,Official figure
2004,270500.0,A,Official figure
2005,275500.0,A,Official figure
2006,274000.0,A,Official figure
2007,288000.0,A,Official figure
2008,262000.0,A,Official figure
2009,262300.0,A,Official figure
2010,289600.0,A,Official figure
2011,302000.0,A,Official figure
2012,314000.0,A,Official figure
2013,318200.0,A,Official figure
2014,304500.0,A,Official figure
2015,327000.0,A,Official figure
2016,348000.0,A,Official figure
2017,312000.0,A,Official figure
2018,316000.0,A,Official figure
2019,319500.0,A,Official figure
2020,298000.0,A,Official figure
2021,334000.0,A,Official figure
