Year,Value,Flag,Flag Description
1961,354397.0,A,Official figure
1962,346736.0,A,Official figure
1963,346413.0,A,Official figure
1964,372486.0,A,Official figure
1965,366374.0,A,Official figure
1966,375983.0,A,Official figure
1967,384759.0,A,Official figure
1968,402489.0,A,Official figure
1969,393588.0,A,Official figure
1970,418517.0,A,Official figure
1971,435468.0,A,Official figure
1972,455996.0,A,Official figure
1973,471952.0,A,Official figure
1974,489475.0,A,Official figure
1975,487137.0,A,Official figure
1976,511817.0,A,Official figure
1977,556267.0,A,Official figure
1978,563846.0,A,Official figure
1979,543776.0,A,Official figure
1980,569550.0,A,Official figure
1981,559583.0,A,Official figure
1982,560732.0,A,Official figure
1983,581484.0,A,Official figure
1984,639864.0,A,Official figure
1985,656162.0,A,Official figure
1986,620803.0,A,Official figure
1987,620800.0,A,Official figure
1988,674300.0,A,Official figure
1989,701100.0,A,Official figure
1990,688100.0,A,Official figure
1991,3132000.0,E,Estimated value
1992,3279000.0,E,Estimated value
1993,3060000.0,E,Estimated value
1994,3274000.0,E,Estimated value
1995,3278000.0,E,Estimated value
1996,3287000.0,E,Estimated value
1997,3391000.0,E,Estimated value
1998,3522000.0,E,Estimated value
1999,3800000.0,E,Estimated value
2000,3591000.0,E,Estimated value
2001,3683000.0,E,Estimated value
2002,3713000.0,E,Estimated value
2003,3678000.0,E,Estimated value
2004,3822000.0,E,Estimated value
2005,3943000.0,E,Estimated value
2006,4126000.0,E,Estimated value
2007,4230000.0,E,Estimated value
2008,4291000.0,E,Estimated value
2009,4229000.0,E,Estimated value
2010,4309000.0,E,Estimated value
2011,4763000.0,E,Estimated value
2012,4935000.0,E,Estimated value
2013,5256000.0,E,Estimated value
2014,5249000.0,E,Estimated value
2015,5361000.0,E,Estimated value
2016,5437000.0,E,Estimated value
2017,5761000.0,E,Estimated value
2018,5820000.0,E,Estimated value
2019,6044000.0,E,Estimated value
2020,5482000.0,E,Estimated value
2021,5482186.38,I,Imputed value
