Year,Value,Flag,Flag Description
1977,300.0,T,Unofficial figure
1978,500.0,T,Unofficial figure
1979,800.0,T,Unofficial figure
1980,6000.0,T,Unofficial figure
1981,6000.0,T,Unofficial figure
1982,6000.0,T,Unofficial figure
1983,6000.0,T,Unofficial figure
1984,6000.0,T,Unofficial figure
1985,6000.0,T,Unofficial figure
1986,6000.0,T,Unofficial figure
1987,7000.0,T,Unofficial figure
1988,6000.0,T,Unofficial figure
1989,6000.0,T,Unofficial figure
1990,6000.0,T,Unofficial figure
1991,6000.0,T,Unofficial figure
1992,6000.0,T,Unofficial figure
1993,6000.0,T,Unofficial figure
1994,6742.0,A,Official figure
1995,5772.0,A,Official figure
1996,6282.0,A,Official figure
1997,5697.0,A,Official figure
1998,5281.0,A,Official figure
1999,5198.0,A,Official figure
2000,6361.0,A,Official figure
2001,6540.0,A,Official figure
2002,6780.0,A,Official figure
2003,8397.0,A,Official figure
2004,9230.0,A,Official figure
2005,9250.0,A,Official figure
2006,10175.0,A,Official figure
2007,10180.0,A,Official figure
2008,10560.0,A,Official figure
2009,11820.0,A,Official figure
2010,12900.0,A,Official figure
2011,14400.0,A,Official figure
2012,13000.0,A,Official figure
2013,13000.0,A,Official figure
2014,15000.0,A,Official figure
2015,16000.0,A,Official figure
2016,17000.0,A,Official figure
2017,19000.0,A,Official figure
2018,20000.0,A,Official figure
2019,24000.0,A,Official figure
2020,26000.0,A,Official figure
2021,27000.0,A,Official figure
