Year,Value,Flag,Flag Description
1961,28000.0,A,Official figure
1962,26000.0,A,Official figure
1963,24000.0,A,Official figure
1964,24000.0,A,Official figure
1965,23000.0,A,Official figure
1966,27000.0,A,Official figure
1967,26000.0,A,Official figure
1968,25700.0,A,Official figure
1969,25500.0,A,Official figure
1970,26160.0,A,Official figure
1971,26160.0,A,Official figure
1972,26190.0,A,Official figure
1973,28700.0,A,Official figure
1974,28180.0,A,Official figure
1975,25570.0,A,Official figure
1976,31620.0,A,Official figure
1977,25620.0,A,Official figure
1978,21500.0,A,Official figure
1979,27700.0,A,Official figure
1980,29490.0,A,Official figure
1981,29500.0,A,Official figure
1982,29200.0,A,Official figure
1983,26610.0,A,Official figure
1984,22710.0,A,Official figure
1985,18220.0,A,Official figure
1986,34000.0,A,Official figure
1987,31340.0,A,Official figure
1988,48090.0,A,Official figure
1989,44160.0,A,Official figure
1990,55190.0,A,Official figure
1991,47950.0,A,Official figure
1992,52010.0,A,Official figure
1993,50760.0,A,Official figure
1994,51300.0,A,Official figure
1995,60700.0,A,Official figure
1996,61580.0,A,Official figure
1997,56000.0,A,Official figure
1998,57000.0,A,Official figure
1999,76000.0,A,Official figure
2000,59000.0,A,Official figure
2001,64000.0,A,Official figure
2002,62000.0,A,Official figure
2003,64000.0,A,Official figure
2004,73190.0,A,Official figure
2005,73020.0,A,Official figure
2006,92900.0,A,Official figure
2007,69000.0,A,Official figure
2008,47010.0,A,Official figure
2009,47400.0,A,Official figure
2010,51020.0,A,Official figure
2011,52000.0,A,Official figure
2012,41000.0,A,Official figure
2013,53000.0,A,Official figure
2014,51000.0,A,Official figure
2015,65000.0,A,Official figure
2016,55000.0,A,Official figure
2017,72000.0,A,Official figure
2018,66000.0,A,Official figure
2019,66000.0,A,Official figure
2020,66000.0,A,Official figure
2021,64815.81,I,Imputed value
