Year,Value,Flag,Flag Description
1961,389000.0,A,Official figure
1962,425000.0,A,Official figure
1963,490000.0,A,Official figure
1964,475000.0,A,Official figure
1965,364000.0,A,Official figure
1966,418000.0,A,Official figure
1967,501000.0,A,Official figure
1968,399000.0,A,Official figure
1969,395000.0,A,Official figure
1970,520400.0,A,Official figure
1971,493900.0,A,Official figure
1972,411700.0,A,Official figure
1973,497000.0,A,Official figure
1974,441200.0,A,Official figure
1975,526100.0,A,Official figure
1976,419400.0,A,Official figure
1977,543300.0,A,Official figure
1978,565700.0,A,Official figure
1979,507600.0,A,Official figure
1980,509100.0,A,Official figure
1981,514700.0,A,Official figure
1982,538900.0,A,Official figure
1983,566500.0,A,Official figure
1984,630500.0,A,Official figure
1985,877400.0,A,Official figure
1986,629200.0,A,Official figure
1987,579800.0,A,Official figure
1988,680000.0,A,Official figure
1989,801500.0,A,Official figure
1990,719000.0,A,Official figure
1991,617500.0,A,Official figure
1992,862100.0,A,Official figure
1993,800100.0,A,Official figure
1994,794700.0,A,Official figure
1995,810000.0,A,Official figure
1996,1066000.0,A,Official figure
1997,870100.0,A,Official figure
1998,1043200.0,A,Official figure
1999,1052800.0,A,Official figure
2000,983700.0,A,Official figure
2001,1069000.0,A,Official figure
2002,896900.0,A,Official figure
2003,1235700.0,A,Official figure
2004,1185500.0,A,Official figure
2005,1014600.0,A,Official figure
2006,1234100.0,A,Official figure
2007,1294150.0,A,Official figure
2008,1269850.0,A,Official figure
2009,1202940.0,A,Official figure
2010,1223400.0,A,Official figure
2011,1276301.0,A,Official figure
2012,1304000.0,A,Official figure
2013,1492000.0,A,Official figure
2014,1492000.0,A,Official figure
2015,1605000.0,A,Official figure
2016,1520390.0,A,Official figure
2017,2096000.0,A,Official figure
2018,2149000.0,A,Official figure
2019,1743000.0,A,Official figure
2020,1835000.0,A,Official figure
2021,2049000.0,A,Official figure
