Year,Value,Flag,Flag Description
1961,3000.0,A,Official figure
1962,4000.0,A,Official figure
1963,4000.0,A,Official figure
1964,4000.0,A,Official figure
1965,4000.0,A,Official figure
1966,4000.0,A,Official figure
1967,3000.0,A,Official figure
1968,3000.0,A,Official figure
1969,3000.0,A,Official figure
1970,3000.0,A,Official figure
1971,3600.0,A,Official figure
1972,2900.0,A,Official figure
1973,3200.0,A,Official figure
1974,4800.0,A,Official figure
1975,5200.0,A,Official figure
1976,4400.0,A,Official figure
1977,4500.0,A,Official figure
1978,5100.0,A,Official figure
1979,5300.0,A,Official figure
1980,5500.0,A,Official figure
1981,9400.0,A,Official figure
1982,8050.0,A,Official figure
1983,8900.0,A,Official figure
1984,9300.0,A,Official figure
1985,10020.0,A,Official figure
1986,9710.0,A,Official figure
1987,9270.0,A,Official figure
1988,8560.0,A,Official figure
1989,10120.0,A,Official figure
1990,9560.0,A,Official figure
1991,9520.0,A,Official figure
1992,9210.0,A,Official figure
1993,10870.0,A,Official figure
1994,10700.0,A,Official figure
1995,11700.0,A,Official figure
1996,12600.0,A,Official figure
1997,11700.0,A,Official figure
1998,9000.0,A,Official figure
1999,10700.0,A,Official figure
2000,14500.0,A,Official figure
2001,15200.0,A,Official figure
2002,15400.0,A,Official figure
2003,16700.0,A,Official figure
2004,16900.0,A,Official figure
2005,17800.0,A,Official figure
2006,17000.0,A,Official figure
2007,13650.0,A,Official figure
2008,15450.0,A,Official figure
2009,15720.0,A,Official figure
2010,15700.0,A,Official figure
2011,15816.0,A,Official figure
2012,18070.0,A,Official figure
2013,16565.0,A,Official figure
2014,21000.0,A,Official figure
2015,22000.0,A,Official figure
2016,38000.0,A,Official figure
2017,43000.0,A,Official figure
2018,43000.0,A,Official figure
2019,38000.0,A,Official figure
2020,37000.0,A,Official figure
2021,50000.0,A,Official figure
